Generation,Average_Fitness,Best_Fit,Worst_Fit
1,97.16666666666667,100,93
2,96.96666666666667,100,93
3,97.0,100,93
4,97.3,100,93
5,96.96666666666667,100,93
6,97.0,100,93
7,97.06666666666666,100,95
8,97.13333333333334,100,95
9,97.3,100,95
10,97.1,100,95
11,97.1,100,97
12,97.0,97,97
13,97.0,97,97
14,97.0,97,97
15,97.0,97,97
16,97.0,97,97
17,97.0,97,97
18,97.0,97,97
19,97.0,97,97
20,97.0,97,97
21,97.0,97,97
22,97.0,97,97
23,97.0,97,97
24,97.0,97,97
25,97.0,97,97
26,97.0,97,97
27,97.0,97,97
28,97.0,97,97
29,97.0,97,97
30,97.0,97,97
31,97.0,97,97
32,97.0,97,97
33,97.0,97,97
34,97.0,97,97
35,97.0,97,97
36,97.0,97,97
37,97.0,97,97
38,97.0,97,97
39,97.0,97,97
40,97.0,97,97
41,97.0,97,97
42,97.0,97,97
43,97.0,97,97
44,97.0,97,97
45,97.0,97,97
46,97.0,97,97
47,97.0,97,97
48,97.0,97,97
49,97.0,97,97
50,97.0,97,97
51,97.0,97,97
52,97.0,97,97
53,97.0,97,97
54,97.0,97,97
55,97.0,97,97
56,97.0,97,97
57,97.0,97,97
58,97.0,97,97
59,97.0,97,97
60,97.0,97,97
61,97.0,97,97
62,97.0,97,97
63,97.0,97,97
64,97.0,97,97
65,97.0,97,97
66,97.0,97,97
67,97.0,97,97
68,97.0,97,97
69,97.0,97,97
70,97.0,97,97
71,97.0,97,97
72,97.0,97,97
73,97.0,97,97
74,97.0,97,97
75,97.0,97,97
76,97.0,97,97
77,97.0,97,97
78,97.0,97,97
79,97.0,97,97
80,97.0,97,97
81,97.0,97,97
82,97.0,97,97
83,97.0,97,97
84,97.0,97,97
85,97.0,97,97
86,97.0,97,97
87,97.0,97,97
88,97.0,97,97
89,97.0,97,97
90,97.0,97,97
91,97.0,97,97
92,97.0,97,97
93,97.0,97,97
94,97.0,97,97
95,97.0,97,97
96,97.0,97,97
97,97.0,97,97
98,97.0,97,97
99,97.0,97,97
100,97.0,97,97
101,97.0,97,97
102,97.0,97,97
103,97.0,97,97
104,97.0,97,97
105,97.0,97,97
106,97.0,97,97
107,97.0,97,97
108,97.0,97,97
109,97.0,97,97
110,97.0,97,97
111,97.0,97,97
112,97.0,97,97
113,97.0,97,97
114,97.0,97,97
115,97.0,97,97
116,97.0,97,97
117,97.0,97,97
118,97.0,97,97
119,97.0,97,97
120,97.0,97,97
121,97.0,97,97
122,97.0,97,97
123,97.0,97,97
124,97.0,97,97
125,97.0,97,97
126,97.0,97,97
127,97.0,97,97
128,97.0,97,97
129,97.0,97,97
130,97.0,97,97
131,97.0,97,97
132,97.0,97,97
133,97.0,97,97
134,97.0,97,97
135,97.0,97,97
136,97.0,97,97
137,97.0,97,97
138,97.0,97,97
139,97.0,97,97
140,97.0,97,97
141,97.0,97,97
142,97.0,97,97
143,97.0,97,97
144,97.0,97,97
145,97.0,97,97
146,97.0,97,97
147,97.0,97,97
148,97.0,97,97
149,97.0,97,97
150,97.0,97,97
151,97.0,97,97
152,97.0,97,97
153,97.0,97,97
154,97.0,97,97
155,97.0,97,97
156,97.0,97,97
157,97.0,97,97
158,97.0,97,97
159,97.0,97,97
160,97.0,97,97
161,97.0,97,97
162,97.0,97,97
163,97.0,97,97
164,97.0,97,97
165,97.0,97,97
166,97.0,97,97
167,97.0,97,97
168,97.0,97,97
169,97.0,97,97
170,97.0,97,97
171,97.0,97,97
172,97.0,97,97
173,97.0,97,97
174,97.0,97,97
175,97.0,97,97
176,97.0,97,97
177,97.0,97,97
178,97.0,97,97
179,97.0,97,97
180,97.0,97,97
181,97.0,97,97
182,97.0,97,97
183,97.0,97,97
184,97.0,97,97
185,97.0,97,97
186,97.0,97,97
187,97.0,97,97
188,97.0,97,97
189,97.0,97,97
190,97.0,97,97
191,97.0,97,97
192,97.0,97,97
193,97.0,97,97
194,97.0,97,97
195,97.0,97,97
196,97.0,97,97
197,97.0,97,97
198,97.0,97,97
199,97.0,97,97
200,97.0,97,97
