Generation,Average_Fitness,Best_Fit,Worst_Fit
1,492.63775823617215,492.63775823617215,492.63775823617215
2,388.4939111379958,388.4939111379958,388.4939111379958
3,337.5610664263064,337.5610664263064,337.5610664263064
4,229.65959157113488,229.65959157113488,229.65959157113488
5,191.56772483672108,191.56772483672108,191.56772483672108
6,160.4511388414374,160.4511388414374,160.4511388414374
7,160.4511388414374,160.4511388414374,160.4511388414374
8,160.4511388414374,160.4511388414374,160.4511388414374
9,160.4511388414374,160.4511388414374,160.4511388414374
10,159.23632650087478,159.23632650087478,159.23632650087478
11,154.66888957109842,154.66888957109842,154.66888957109842
12,154.66888957109842,154.66888957109842,154.66888957109842
13,148.43273085123045,148.43273085123045,148.43273085123045
14,153.43273085123042,153.43273085123042,153.43273085123042
15,153.43273085123042,153.43273085123042,153.43273085123042
16,153.43273085123042,153.43273085123042,153.43273085123042
17,150.54475486129516,150.54475486129516,150.54475486129516
18,150.54475486129516,150.54475486129516,150.54475486129516
19,150.54475486129516,150.54475486129516,150.54475486129516
20,150.54475486129516,150.54475486129516,150.54475486129516
21,150.54475486129516,150.54475486129516,150.54475486129516
22,150.54475486129516,150.54475486129516,150.54475486129516
23,150.54475486129516,150.54475486129516,150.54475486129516
24,160.54475486129516,160.54475486129516,160.54475486129516
25,160.54475486129516,160.54475486129516,160.54475486129516
26,160.54475486129516,160.54475486129516,160.54475486129516
27,160.54475486129516,160.54475486129516,160.54475486129516
28,157.76138619428565,157.76138619428565,157.76138619428565
29,159.93282750173236,159.93282750173236,159.93282750173236
30,159.93282750173236,159.93282750173236,159.93282750173236
31,159.93282750173236,159.93282750173236,159.93282750173236
32,159.93282750173236,159.93282750173236,159.93282750173236
33,159.93282750173236,159.93282750173236,159.93282750173236
34,159.93282750173236,159.93282750173236,159.93282750173236
35,159.93282750173236,159.93282750173236,159.93282750173236
36,164.93282750173236,164.93282750173236,164.93282750173236
37,164.93282750173236,164.93282750173236,164.93282750173236
38,162.0462777776878,162.0462777776878,162.0462777776878
39,162.0462777776878,162.0462777776878,162.0462777776878
40,167.04627777768783,167.04627777768783,167.04627777768783
41,167.04627777768783,167.04627777768783,167.04627777768783
