Generation,Average_Fitness,Best_Fit,Worst_Fit
1,94.66666666666667,99,87
2,92.63333333333334,99,84
3,91.16666666666667,99,82
4,87.46666666666667,99,75
5,83.2,99,68
6,79.83333333333333,99,67
7,75.86666666666666,99,65
8,73.83333333333333,99,65
9,71.73333333333333,99,64
10,69.56666666666666,99,64
11,68.23333333333333,99,64
12,67.53333333333333,99,64
13,66.66666666666667,99,64
14,65.6,99,64
15,65.6,99,64
16,65.56666666666666,99,64
17,65.4,99,64
18,65.2,99,64
19,64.03333333333333,65,64
20,64.03333333333333,65,64
21,64.03333333333333,65,64
22,64.03333333333333,65,64
23,64.0,64,64
24,64.0,64,64
25,64.0,64,64
26,64.0,64,64
27,64.0,64,64
28,64.0,64,64
29,64.0,64,64
30,64.0,64,64
31,64.0,64,64
32,64.0,64,64
33,64.0,64,64
34,64.0,64,64
35,64.0,64,64
36,64.0,64,64
37,64.0,64,64
38,64.0,64,64
39,64.0,64,64
40,64.0,64,64
41,64.0,64,64
42,64.0,64,64
43,64.0,64,64
44,64.0,64,64
45,64.0,64,64
46,64.0,64,64
47,64.0,64,64
48,64.0,64,64
49,64.0,64,64
50,64.0,64,64
51,64.0,64,64
52,64.0,64,64
53,64.0,64,64
54,64.0,64,64
55,64.0,64,64
56,64.0,64,64
57,64.0,64,64
58,64.0,64,64
59,64.0,64,64
60,64.0,64,64
61,64.0,64,64
62,64.0,64,64
63,64.0,64,64
64,64.0,64,64
65,64.0,64,64
66,64.0,64,64
67,64.0,64,64
68,64.0,64,64
69,64.0,64,64
70,64.0,64,64
71,64.0,64,64
72,64.0,64,64
73,64.0,64,64
74,64.0,64,64
75,64.0,64,64
76,64.0,64,64
77,64.0,64,64
78,64.0,64,64
79,64.0,64,64
80,64.0,64,64
81,64.0,64,64
82,64.0,64,64
83,64.0,64,64
84,64.0,64,64
85,64.0,64,64
86,64.0,64,64
87,64.0,64,64
88,64.0,64,64
89,64.0,64,64
90,64.0,64,64
91,64.0,64,64
92,64.0,64,64
93,64.0,64,64
94,64.0,64,64
95,64.0,64,64
96,64.0,64,64
97,64.0,64,64
98,64.0,64,64
99,64.0,64,64
100,64.0,64,64
101,64.0,64,64
102,64.0,64,64
103,64.0,64,64
104,64.0,64,64
105,64.0,64,64
106,64.0,64,64
107,64.0,64,64
108,64.0,64,64
109,64.0,64,64
110,64.0,64,64
111,64.0,64,64
112,64.0,64,64
113,64.0,64,64
114,64.0,64,64
115,64.0,64,64
116,64.0,64,64
117,64.0,64,64
118,64.0,64,64
119,64.0,64,64
120,64.0,64,64
121,64.0,64,64
122,64.0,64,64
123,64.0,64,64
124,64.0,64,64
125,64.0,64,64
126,64.0,64,64
127,64.0,64,64
128,64.0,64,64
129,64.0,64,64
130,64.0,64,64
131,64.0,64,64
132,64.0,64,64
133,64.0,64,64
134,64.0,64,64
135,64.0,64,64
136,64.0,64,64
137,64.0,64,64
138,64.0,64,64
139,64.0,64,64
140,64.0,64,64
141,64.0,64,64
142,64.0,64,64
143,64.0,64,64
144,64.0,64,64
145,64.0,64,64
146,64.0,64,64
147,64.0,64,64
148,64.0,64,64
149,64.0,64,64
150,64.0,64,64
151,64.0,64,64
152,64.0,64,64
153,64.0,64,64
154,64.0,64,64
155,64.0,64,64
156,64.0,64,64
157,64.0,64,64
158,64.0,64,64
159,64.0,64,64
160,64.0,64,64
161,64.0,64,64
162,64.0,64,64
163,64.0,64,64
164,64.0,64,64
165,64.0,64,64
166,64.0,64,64
167,64.0,64,64
168,64.0,64,64
169,64.0,64,64
170,64.0,64,64
171,64.0,64,64
172,64.0,64,64
173,64.0,64,64
174,64.0,64,64
175,64.0,64,64
176,64.0,64,64
177,64.0,64,64
178,64.0,64,64
179,64.0,64,64
180,64.0,64,64
181,64.0,64,64
182,64.0,64,64
183,64.0,64,64
184,64.0,64,64
185,64.0,64,64
186,64.0,64,64
187,64.0,64,64
188,64.0,64,64
189,64.0,64,64
190,64.0,64,64
191,64.0,64,64
192,64.0,64,64
193,64.0,64,64
194,64.0,64,64
195,64.0,64,64
196,64.0,64,64
197,64.0,64,64
198,64.0,64,64
199,64.0,64,64
200,64.0,64,64
