Generation,Average_Fitness,Best_Fit,Worst_Fit
1,981.4023011652488,1057.1940996835256,849.6847398939481
2,967.0107137426733,1057.1940996835256,812.9495152550186
3,944.1694737032235,1057.1940996835256,769.7533647422637
4,938.0434994660932,1057.1940996835256,750.6466757035547
5,933.1647819145021,1054.4887600669867,750.6466757035547
6,905.5357901482773,1054.4887600669867,627.1540699342931
7,882.7361083146028,1025.255554279045,733.4467665756928
8,883.9588967759909,1025.255554279045,710.4469864748773
9,880.9793281122949,1025.255554279045,710.4469864748773
10,848.4232512199361,1025.255554279045,635.671639435107
11,827.3721307885656,1025.255554279045,602.485366773081
12,798.3461806558905,1003.2828373310117,602.485366773081
13,810.5205186713899,1003.2828373310117,602.485366773081
14,791.565286223097,1003.2828373310117,616.8850829011342
15,786.4798961882058,1003.2828373310117,557.417296247093
16,783.7493137610761,964.9645642472352,618.7327547861101
17,772.601114019848,964.9645642472352,618.7327547861101
18,774.0459209663574,964.9645642472352,618.7327547861101
19,751.9990443999325,964.9645642472352,546.5523626556691
20,767.2733320296527,964.9645642472352,546.5523626556691
21,750.4163267199648,964.9645642472352,546.5523626556691
22,735.086910277334,964.9645642472352,546.5523626556691
23,732.054712937726,964.9645642472352,585.8187755776332
24,708.6644439306857,964.9645642472352,502.27628959507564
25,681.5050452234102,841.2281699627121,502.27628959507564
26,685.4739653806977,841.2281699627121,502.27628959507564
27,669.0404931230046,841.2281699627121,501.9215866088099
28,648.8553954497468,839.5410444506002,528.6993844846575
29,620.2131598937319,824.8263895777147,442.69404273807686
30,612.8751670262171,824.8263895777147,468.81321024181574
31,612.0249910655795,824.8263895777147,499.5665419688512
32,597.311771563774,824.8263895777147,484.6033205339093
33,578.4190204608027,719.6964078456803,484.6033205339093
34,568.6494951213008,709.809568467115,484.6033205339093
35,558.2350339027909,674.7292944797847,454.79921590916524
36,550.2099614035932,674.7292944797847,454.79921590916524
37,542.6893387988148,674.7292944797847,429.35970878455305
38,520.9651361188456,619.4602288289401,407.982777158634
39,516.849251714994,619.4602288289401,416.3518561448727
40,516.4475350301897,619.4602288289401,373.0579678978818
41,497.7666652965227,619.4602288289401,373.0579678978818
42,505.25973820742996,619.4602288289401,413.0623565177457
43,507.91159682057844,619.4602288289401,413.0623565177457
44,508.5374552693069,619.4602288289401,413.0623565177457
45,513.9733621443214,620.1701737192423,413.0623565177457
46,510.8190389023409,619.4602288289401,413.0623565177457
47,489.07916717679126,611.5720818179467,374.5568796181136
48,480.37959385514876,611.5720818179467,374.5568796181136
49,462.13980092119095,611.5720818179467,374.5568796181136
50,459.3592935421715,593.412494536915,365.60269338848974
51,460.39888786765937,593.412494536915,323.1405843073112
52,448.8906287637789,593.412494536915,323.1405843073112
53,449.6002032806842,593.412494536915,340.48995682752485
54,451.0853732955073,516.2569470572869,380.585873401935
55,445.37123494259737,516.2569470572869,357.23154166088256
56,445.07190700478554,516.2569470572869,357.23154166088256
57,434.56350655123686,516.2569470572869,357.23154166088256
58,432.13202136628803,514.5874578432292,357.23154166088256
59,422.1560852912563,514.5874578432292,345.5637317146791
60,409.226851470688,499.7615164107216,345.5637317146791
61,406.0965728732786,499.7615164107216,330.0618165450048
62,404.1875349007404,499.7615164107216,329.36424640540656
63,399.34265447682657,499.7615164107216,329.36424640540656
64,401.5055995754363,499.7615164107216,329.36424640540656
65,390.12037207561025,462.97397336961774,312.78115142282826
66,385.716265752747,462.97397336961774,313.1833404894209
67,381.8746452858698,444.3476580394525,313.1833404894209
68,379.14643626293673,444.3476580394525,313.1833404894209
69,374.49518672692153,432.72216608371656,313.1833404894209
70,367.0511130381232,432.72216608371656,313.1833404894209
71,364.5876851058811,432.72216608371656,309.7662009583066
72,366.197668378798,432.72216608371656,311.9225923348138
73,363.80712892163325,432.72216608371656,311.9225923348138
74,363.32335995519753,431.9641670750604,311.9225923348138
75,359.7089497758418,431.9641670750604,317.1336401145201
76,358.8710566923012,431.9641670750604,317.504644405181
