Generation,Average_Fitness,Best_Fit,Worst_Fit
1,95.56666666666666,100,90
2,94.53333333333333,97,91
3,92.9,97,88
4,91.1,95,86
5,90.06666666666666,93,88
6,88.16666666666667,91,85
7,86.53333333333333,88,83
8,84.96666666666667,88,81
9,83.33333333333333,88,80
10,82.16666666666667,85,76
11,80.5,85,76
12,78.46666666666667,81,74
13,77.33333333333333,81,73
14,76.16666666666667,79,73
15,74.46666666666667,78,72
16,73.16666666666667,76,70
17,71.96666666666667,74,68
18,71.4,74,68
19,70.56666666666666,73,68
20,69.63333333333334,72,66
21,68.63333333333334,71,66
22,67.56666666666666,69,66
23,67.03333333333333,69,66
24,66.36666666666666,68,65
25,65.93333333333334,68,65
26,65.5,66,65
27,64.86666666666666,66,64
28,64.7,65,64
29,64.56666666666666,65,64
30,64.43333333333334,65,64
31,63.96666666666667,65,63
32,63.8,64,63
33,63.46666666666667,64,63
34,63.3,64,63
35,63.1,64,63
36,63.0,63,63
37,63.0,63,63
38,63.0,63,63
39,63.0,63,63
40,63.0,63,63
41,63.0,63,63
42,63.0,63,63
43,63.0,63,63
44,63.0,63,63
45,63.0,63,63
46,63.0,63,63
47,63.0,63,63
48,63.0,63,63
49,63.0,63,63
50,63.0,63,63
51,63.0,63,63
52,63.0,63,63
53,63.0,63,63
54,63.0,63,63
55,63.0,63,63
56,63.0,63,63
57,63.0,63,63
58,63.0,63,63
59,63.0,63,63
60,63.0,63,63
61,63.0,63,63
62,63.0,63,63
63,63.0,63,63
64,63.0,63,63
65,63.0,63,63
66,63.0,63,63
67,63.0,63,63
68,63.0,63,63
69,63.0,63,63
70,63.0,63,63
71,63.0,63,63
72,63.0,63,63
73,63.0,63,63
74,63.0,63,63
75,63.0,63,63
76,63.0,63,63
77,63.0,63,63
78,63.0,63,63
79,63.0,63,63
80,63.0,63,63
81,63.0,63,63
82,63.0,63,63
83,63.0,63,63
84,63.0,63,63
85,63.0,63,63
86,63.0,63,63
87,63.0,63,63
88,63.0,63,63
89,63.0,63,63
90,63.0,63,63
91,63.0,63,63
92,63.0,63,63
93,63.0,63,63
94,63.0,63,63
95,63.0,63,63
96,63.0,63,63
97,63.0,63,63
98,63.0,63,63
99,63.0,63,63
100,63.0,63,63
101,63.0,63,63
102,63.0,63,63
103,63.0,63,63
104,63.0,63,63
105,63.0,63,63
106,63.0,63,63
107,63.0,63,63
108,63.0,63,63
109,63.0,63,63
110,63.0,63,63
111,63.0,63,63
112,63.0,63,63
113,63.0,63,63
114,63.0,63,63
115,63.0,63,63
116,63.0,63,63
117,63.0,63,63
118,63.0,63,63
119,63.0,63,63
120,63.0,63,63
121,63.0,63,63
122,63.0,63,63
123,63.0,63,63
124,63.0,63,63
125,63.0,63,63
126,63.0,63,63
127,63.0,63,63
128,63.0,63,63
129,63.0,63,63
130,63.0,63,63
131,63.0,63,63
132,63.0,63,63
133,63.0,63,63
134,63.0,63,63
135,63.0,63,63
136,63.0,63,63
137,63.0,63,63
138,63.0,63,63
139,63.0,63,63
140,63.0,63,63
141,63.0,63,63
142,63.0,63,63
143,63.0,63,63
144,63.0,63,63
145,63.0,63,63
146,63.0,63,63
147,63.0,63,63
148,63.0,63,63
149,63.0,63,63
150,63.0,63,63
151,63.0,63,63
152,63.0,63,63
153,63.0,63,63
154,63.0,63,63
155,63.0,63,63
156,63.0,63,63
157,63.0,63,63
158,63.0,63,63
159,63.0,63,63
160,63.0,63,63
161,63.0,63,63
162,63.0,63,63
163,63.0,63,63
164,63.0,63,63
165,63.0,63,63
166,63.0,63,63
167,63.0,63,63
168,63.0,63,63
169,63.0,63,63
170,63.0,63,63
171,63.0,63,63
172,63.0,63,63
173,63.0,63,63
174,63.0,63,63
175,63.0,63,63
176,63.0,63,63
177,63.0,63,63
178,63.0,63,63
179,63.0,63,63
180,63.0,63,63
181,63.0,63,63
182,63.0,63,63
183,63.0,63,63
184,63.0,63,63
185,63.0,63,63
186,63.0,63,63
187,63.0,63,63
188,63.0,63,63
189,63.0,63,63
190,63.0,63,63
191,63.0,63,63
192,63.0,63,63
193,63.0,63,63
194,63.0,63,63
195,63.0,63,63
196,63.0,63,63
197,63.0,63,63
198,63.0,63,63
199,63.0,63,63
200,63.0,63,63
