Generation,Average_Fitness,Best_Fit,Worst_Fit
1,95.53333333333333,97,91
2,93.66666666666667,96,89
3,91.93333333333334,94,86
4,89.6,92,86
5,87.6,90,83
6,85.66666666666667,88,82
7,83.73333333333333,86,80
8,81.86666666666666,84,78
9,80.46666666666667,82,78
10,79.23333333333333,81,76
11,78.0,80,75
12,76.7,78,73
13,75.2,77,72
14,73.3,75,71
15,72.03333333333333,74,70
16,70.93333333333334,72,69
17,70.23333333333333,71,68
18,69.53333333333333,71,68
19,68.53333333333333,70,65
20,67.3,69,65
21,66.03333333333333,67,64
22,65.33333333333333,66,63
23,64.93333333333334,66,63
24,63.86666666666667,65,62
25,63.1,64,62
26,62.766666666666666,63,62
27,62.43333333333333,63,62
28,62.1,63,62
29,62.0,62,62
30,62.0,62,62
31,62.0,62,62
32,62.0,62,62
33,62.0,62,62
34,62.0,62,62
35,62.0,62,62
36,62.0,62,62
37,62.0,62,62
38,62.0,62,62
39,62.0,62,62
40,62.0,62,62
41,62.0,62,62
42,62.0,62,62
43,62.0,62,62
44,62.0,62,62
45,62.0,62,62
46,62.0,62,62
47,62.0,62,62
48,62.0,62,62
49,62.0,62,62
50,62.0,62,62
51,62.0,62,62
52,62.0,62,62
53,62.0,62,62
54,62.0,62,62
55,62.0,62,62
56,62.0,62,62
57,62.0,62,62
58,62.0,62,62
59,62.0,62,62
60,62.0,62,62
61,62.0,62,62
62,62.0,62,62
63,62.0,62,62
64,62.0,62,62
65,62.0,62,62
66,62.0,62,62
67,62.0,62,62
68,62.0,62,62
69,62.0,62,62
70,62.0,62,62
71,62.0,62,62
72,62.0,62,62
73,62.0,62,62
74,62.0,62,62
75,62.0,62,62
76,62.0,62,62
77,62.0,62,62
78,62.0,62,62
79,62.0,62,62
80,62.0,62,62
81,62.0,62,62
82,62.0,62,62
83,62.0,62,62
84,62.0,62,62
85,62.0,62,62
86,62.0,62,62
87,62.0,62,62
88,62.0,62,62
89,62.0,62,62
90,62.0,62,62
91,62.0,62,62
92,62.0,62,62
93,62.0,62,62
94,62.0,62,62
95,62.0,62,62
96,62.0,62,62
97,62.0,62,62
98,62.0,62,62
99,62.0,62,62
100,62.0,62,62
101,62.0,62,62
102,62.0,62,62
103,62.0,62,62
104,62.0,62,62
105,62.0,62,62
106,62.0,62,62
107,62.0,62,62
108,62.0,62,62
109,62.0,62,62
110,62.0,62,62
111,62.0,62,62
112,62.0,62,62
113,62.0,62,62
114,62.0,62,62
115,62.0,62,62
116,62.0,62,62
117,62.0,62,62
118,62.0,62,62
119,62.0,62,62
120,62.0,62,62
121,62.0,62,62
122,62.0,62,62
123,62.0,62,62
124,62.0,62,62
125,62.0,62,62
126,62.0,62,62
127,62.0,62,62
128,62.0,62,62
129,62.0,62,62
130,62.0,62,62
131,62.0,62,62
132,62.0,62,62
133,62.0,62,62
134,62.0,62,62
135,62.0,62,62
136,62.0,62,62
137,62.0,62,62
138,62.0,62,62
139,62.0,62,62
140,62.0,62,62
141,62.0,62,62
142,62.0,62,62
143,62.0,62,62
144,62.0,62,62
145,62.0,62,62
146,62.0,62,62
147,62.0,62,62
148,62.0,62,62
149,62.0,62,62
150,62.0,62,62
151,62.0,62,62
152,62.0,62,62
153,62.0,62,62
154,62.0,62,62
155,62.0,62,62
156,62.0,62,62
157,62.0,62,62
158,62.0,62,62
159,62.0,62,62
160,62.0,62,62
161,62.0,62,62
162,62.0,62,62
163,62.0,62,62
164,62.0,62,62
165,62.0,62,62
166,62.0,62,62
167,62.0,62,62
168,62.0,62,62
169,62.0,62,62
170,62.0,62,62
171,62.0,62,62
172,62.0,62,62
173,62.0,62,62
174,62.0,62,62
175,62.0,62,62
176,62.0,62,62
177,62.0,62,62
178,62.0,62,62
179,62.0,62,62
180,62.0,62,62
181,62.0,62,62
182,62.0,62,62
183,62.0,62,62
184,62.0,62,62
185,62.0,62,62
186,62.0,62,62
187,62.0,62,62
188,62.0,62,62
189,62.0,62,62
190,62.0,62,62
191,62.0,62,62
192,62.0,62,62
193,62.0,62,62
194,62.0,62,62
195,62.0,62,62
196,62.0,62,62
197,62.0,62,62
198,62.0,62,62
199,62.0,62,62
200,62.0,62,62
