Generation,Average_Fitness,Best_Fit,Worst_Fit
1,489.8005534405714,544.7734951713362,359.64128625201215
2,469.0038766200453,543.2746078005858,301.3726986159446
3,461.2973573559564,548.562580880109,294.68419826195884
4,446.094308995253,548.562580880109,294.68419826195884
5,443.24373425840923,548.562580880109,294.68419826195884
6,431.39238107425,548.562580880109,260.63737475134343
7,421.4017551660857,540.1300391928839,275.38762213232417
8,411.2929131007794,540.1300391928839,275.38762213232417
9,414.2332779839958,540.1300391928839,275.38762213232417
10,396.70786440958733,519.0388328986206,248.31356211264804
11,391.70950581602034,519.0388328986206,196.90462437565813
12,387.78683314740374,516.4254681723774,196.90462437565813
13,384.83959575902065,502.62615684308054,248.31356211264804
14,382.0728260687312,502.62615684308054,245.45852983153978
15,393.7591134313506,539.8639927703894,245.45852983153978
16,395.85049899602086,539.8639927703894,279.97709971854755
17,390.487511562245,539.8639927703894,253.37244327991004
18,394.678629893985,539.8639927703894,268.3823322287684
19,402.91978402203335,539.8639927703894,279.97709971854755
20,397.98623476483016,496.46569262780304,279.97709971854755
21,404.00552308172024,496.46569262780304,297.5527264051397
22,401.077179868921,496.46569262780304,242.48338089614163
23,401.2834925379494,491.87141076025904,307.14254088048494
24,406.362819712733,493.37871591389825,307.14254088048494
25,392.4596419189233,493.37871591389825,255.0344865114982
26,382.6783444433396,493.37871591389825,208.5500995113612
27,386.504477772895,493.37871591389825,208.5500995113612
28,384.6074607250051,493.37871591389825,208.5500995113612
29,391.51818597650197,493.37871591389825,255.0344865114982
30,382.8987109193775,480.77985239205304,255.0344865114982
31,382.12543255383616,480.77985239205304,273.7563765870865
32,374.30322851633275,480.77985239205304,264.4694566884519
33,366.22378615254166,480.77985239205304,238.31168490924406
34,356.47151150816865,480.77985239205304,228.9732545771968
35,352.28529927752805,480.77985239205304,260.86863794485276
36,349.58527548632503,480.77985239205304,244.35576682674838
37,340.43604185999067,416.3919631427196,244.35576682674838
38,327.2944235354042,407.67791349173285,211.8182548880833
39,322.70619409910495,406.6443084562771,215.18660376597265
40,315.325898165534,406.6443084562771,215.18660376597265
41,319.5743545610955,418.21075870698155,203.88024271417416
42,312.24984564081694,418.21075870698155,184.78236522114582
43,314.49523361391203,418.21075870698155,203.88024271417416
44,319.85094120577526,418.21075870698155,216.53533769470562
45,319.1215858141017,445.6293363648716,216.53533769470562
46,321.85329690842997,445.6293363648716,216.53533769470562
47,320.25804340935787,445.6293363648716,195.96626019802096
48,324.6841239216126,445.6293363648716,213.1796039592173
49,320.94553588033256,421.7791579101322,223.35942779608953
50,319.3360338992385,421.7791579101322,220.82233257980943
51,323.171902974239,406.6443084562771,220.82233257980943
52,311.8961282901512,385.64722208663574,232.03434216239052
53,308.5312303401015,385.64722208663574,232.03434216239052
54,303.60641541981556,385.64722208663574,232.03434216239052
55,308.1365325074868,404.2809770597518,237.3903769727363
56,303.4610146715924,404.2809770597518,210.3293857917294
57,305.5129315746144,404.2809770597518,210.3293857917294
58,301.60011998770494,404.2809770597518,210.3293857917294
59,296.2234763462879,404.2809770597518,210.3293857917294
60,300.39660614589445,404.2809770597518,209.10049021684657
61,291.77956723203516,404.2809770597518,169.41284327265424
62,287.61434990647103,404.2809770597518,169.41284327265424
63,300.8801870121973,404.2809770597518,177.5121049952904
64,310.40691909486526,404.2809770597518,210.3293857917294
65,301.1099964118122,404.2809770597518,210.3293857917294
66,292.2015042827405,401.7174964695077,208.09122848225732
67,288.765299271916,401.7174964695077,207.41479747714752
68,290.0339271278915,401.7174964695077,207.41479747714752
69,295.6377327454195,401.7174964695077,207.41479747714752
70,301.05898005780205,401.7174964695077,207.52515345185014
71,303.2098418628495,401.7174964695077,219.90305482681816
72,295.9021573822121,401.7174964695077,189.42818256547633
73,293.1805360115413,401.7174964695077,190.41433539885352
74,297.3679632967707,401.7174964695077,198.50926202241135
75,300.7929854786383,401.7174964695077,198.50926202241135
76,304.9580823654271,401.7174964695077,198.50926202241135
77,300.67915587422885,401.7174964695077,214.42435731035263
78,300.7992101541287,401.7174964695077,209.60962034684474
79,295.8384462611661,401.7174964695077,192.8805038840293
80,286.68040412696666,401.7174964695077,192.8805038840293
81,292.0266077773179,401.7174964695077,225.58406695455596
82,282.9394426598563,401.7174964695077,194.20677270977896
83,285.495621421338,401.7174964695077,194.20677270977896
84,281.3422790488374,401.7174964695077,200.3097932735205
85,284.868805781844,401.7174964695077,200.3097932735205
86,281.72253935266855,401.7174964695077,226.2196796577274
87,281.5892700487902,364.3076779092511,228.5605116425999
88,280.9921164443151,364.3076779092511,218.6583287409239
89,278.2353753310849,364.3076779092511,201.75808594848408
90,271.59844071913244,364.3076779092511,198.4434478414805
91,274.30719612096254,364.3076779092511,203.71050526303998
92,264.1168239028571,364.3076779092511,194.56075902595603
93,262.7505981682202,364.3076779092511,194.56075902595603
94,259.108081959175,341.16711432907414,183.7327082331341
95,255.95113724345927,341.16711432907414,183.7327082331341
96,253.34681955972744,341.16711432907414,183.7327082331341
97,250.24493199148475,341.16711432907414,191.0213502293537
98,248.59928354655648,340.92933104834594,191.0213502293537
99,246.22514656502716,340.92933104834594,191.0616070123579
100,245.60909980998932,340.92933104834594,172.07995649093937
101,253.64817381212043,340.92933104834594,172.07995649093937
102,258.4263175636312,340.92933104834594,172.07995649093937
103,258.2349500719856,340.92933104834594,172.07995649093937
104,260.9884749744842,340.92933104834594,172.07995649093937
105,255.49878037663495,340.92933104834594,193.46896926007474
106,252.83419580287173,334.02660274795903,190.8874211457263
107,252.5012895824646,317.10692966009736,190.8874211457263
108,252.3341602600625,317.10692966009736,189.82574248082528
109,251.39938298010918,317.10692966009736,189.82574248082528
110,244.86294926363658,317.10692966009736,154.18624216944622
111,240.99054184807093,317.10692966009736,154.18624216944622
112,239.65451857359815,317.10692966009736,154.18624216944622
113,237.33705345485808,317.10692966009736,154.18624216944622
114,236.64630149014235,317.10692966009736,168.9131389567874
115,239.91356743027256,317.10692966009736,168.9131389567874
116,236.16617936924484,330.3254309709197,185.35583837981972
117,230.30685660744504,330.3254309709197,181.2641979990212
118,225.8024366841894,294.8683139182287,157.46177895344678
119,225.31713217611352,294.8683139182287,174.95991079752415
120,220.83134739813093,294.8683139182287,162.10384037080732
121,215.79328919002828,280.4556773249667,141.26599615674988
122,213.1311408521806,280.4556773249667,141.26599615674988
123,216.6712022513934,280.4556773249667,149.5043355373321
124,213.30477126475333,280.4556773249667,161.42047536672305
125,211.23126958545424,280.4556773249667,142.69018827346687
126,207.19345070910677,280.4556773249667,142.69018827346687
127,202.18632977275934,280.4556773249667,142.69018827346687
128,199.08166761546806,280.4556773249667,124.33601985496584
129,202.2329130011571,280.4556773249667,142.69018827346687
130,202.55507414997828,280.4556773249667,149.64935867004596
131,206.31488840030264,283.4905758082505,157.2574594396606
132,207.4377771709712,283.4905758082505,153.28549234368938
133,205.0626323280126,283.4905758082505,153.28549234368938
134,206.00696811985156,283.4905758082505,153.28549234368938
135,204.03450170780033,283.4905758082505,153.28549234368938
136,202.29845149682998,283.4905758082505,158.9729105921528
137,200.0984606185701,283.4905758082505,156.98077146814748
138,196.5383452603684,283.4905758082505,156.98077146814748
139,197.10795069546094,283.4905758082505,158.8962811688128
140,200.4811276226291,257.2842959546237,156.78540006940358
141,195.823125333131,257.2842959546237,155.65351340025416
142,197.40555488176352,257.2842959546237,155.65351340025416
143,195.8851455636798,257.2842959546237,156.41551423362566
144,193.61103723052022,257.2842959546237,155.8294946532115
145,190.0084103598362,257.2842959546237,146.83992562963354
146,187.71349993938918,241.24227945378053,150.60640022499595
147,189.20393207794794,241.24227945378053,150.60640022499595
148,191.90051444710727,241.24227945378053,147.3975223593779
149,190.99915572558126,236.52135802444633,147.3975223593779
150,190.3232651366994,236.52135802444633,147.3975223593779
151,190.4178546661854,236.52135802444633,158.0959151756426
152,190.5824657699886,233.79003655914988,163.5237857716049
153,189.39223028285167,231.95472600113516,163.5237857716049
154,190.49484001114672,231.95472600113516,138.4716102969495
155,193.69822901125636,231.95472600113516,162.5561699135237
156,194.37208321774858,231.95472600113516,147.04645468424542
157,189.62549194350203,231.95472600113516,147.04645468424542
158,191.62308008765913,231.95472600113516,147.04645468424542
159,189.14870048450948,231.95472600113516,147.04645468424542
160,189.107481901306,231.95472600113516,154.9357280262671
161,186.9624353477894,231.95472600113516,152.5147861204288
162,185.62540989915956,231.95472600113516,152.5147861204288
163,187.0482461972759,231.95472600113516,149.15663385377226
164,188.27583542899177,231.95472600113516,149.15663385377226
165,185.91203000464952,231.95472600113516,149.15663385377226
166,186.7346425239769,231.95472600113516,160.33483133599026
167,186.66489260599627,231.95472600113516,159.33841797605822
168,188.41948061644342,231.95472600113516,161.64997631009086
169,186.4635785635277,231.95472600113516,155.978446786385
170,185.74855087487188,216.77397869771065,158.46869169342938
171,184.18495174535306,211.52097533121605,158.46869169342938
172,181.82203616761566,211.4983705348853,155.88571101531144
173,182.08189542970325,216.40266939315904,155.88571101531144
174,184.06588861257262,216.40266939315904,156.30618458093105
175,186.64444850757067,214.3548309855798,158.46869169342938
176,189.0729131089455,214.3548309855798,158.46869169342938
177,186.79372511024457,213.36658308658983,157.96750623879674
178,183.09206371486292,213.36658308658983,154.76736192603875
179,182.83546037800767,208.74427075918516,158.46869169342938
180,182.74890615156298,208.74427075918516,158.46869169342938
181,184.1201089989706,207.631542875252,158.46869169342938
182,185.00213113116683,207.631542875252,158.46869169342938
183,186.19982629267182,215.04283616458198,158.46869169342938
184,188.15457476369983,215.04283616458198,158.46869169342938
185,187.0232641308756,215.04283616458198,158.46869169342938
186,187.8788121245657,217.36811955983825,158.46869169342938
187,186.9149206496137,217.36811955983825,161.4935142548753
188,187.294321695428,217.36811955983825,161.4935142548753
189,189.5934138377693,217.36811955983825,161.4935142548753
190,189.01455108701134,217.36811955983825,162.40080433832625
191,190.4560054941793,228.81934643045648,162.40080433832625
192,193.2464277084673,228.81934643045648,162.40080433832625
193,193.24774911013836,228.81934643045648,162.07201023652402
194,194.53678286675026,228.81934643045648,164.81254066788594
195,192.94447490182682,220.61013356215273,164.81254066788594
196,195.69514848578785,220.61013356215273,169.47132453484102
197,196.9466222404865,220.61013356215273,169.47132453484102
198,196.5062059492337,220.61013356215273,169.47132453484102
199,198.436495390392,220.42481360885103,164.91424870344943
200,197.26111257561638,219.2439346995143,163.01306813637223
