Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.64,100,96
2,98.56,100,95
3,98.54,100,95
4,98.48,100,95
5,98.18,100,94
6,97.86,100,94
7,98.3,100,94
8,98.46,100,94
9,98.62,100,95
10,98.54,100,95
11,98.72,100,95
12,98.48,100,95
13,98.4,100,95
14,98.32,100,95
15,97.98,100,95
16,97.86,100,95
17,97.92,100,95
18,97.8,100,92
19,97.92,100,92
20,97.94,100,92
21,97.78,100,92
22,97.46,100,92
23,97.38,100,92
24,97.36,100,92
25,97.3,100,93
26,96.88,100,92
27,96.86,100,92
28,96.46,100,92
29,96.5,100,92
30,96.5,100,92
31,96.48,100,91
32,96.2,100,91
33,96.6,100,91
34,96.06,100,91
35,95.98,99,91
36,95.86,99,90
37,96.28,100,90
38,96.36,100,90
39,96.42,100,90
40,95.22,100,90
41,94.78,100,89
42,94.36,100,89
43,93.84,100,88
44,93.26,100,87
45,92.84,98,87
46,92.8,98,87
47,93.18,98,88
48,92.72,98,87
49,92.66,99,88
50,92.7,99,87
51,92.26,99,88
52,92.06,99,88
53,92.36,99,89
54,91.84,99,87
55,92.42,99,87
56,92.14,99,87
57,91.7,98,87
58,92.02,98,87
59,92.26,98,86
60,92.5,97,87
61,92.08,95,87
62,92.24,95,87
63,91.74,95,82
64,91.56,95,82
65,91.34,95,82
66,91.06,95,82
67,90.98,95,82
68,90.62,95,82
69,90.94,95,82
70,91.0,97,82
71,90.62,97,82
72,90.6,97,82
73,90.54,97,85
74,90.5,97,86
75,90.06,97,83
76,89.56,97,83
77,89.3,94,83
78,89.36,94,83
79,89.02,94,82
80,88.7,93,82
81,89.3,93,84
82,89.34,93,86
83,89.4,93,86
84,89.64,93,86
85,88.84,93,83
86,88.66,93,85
87,88.28,93,84
88,88.62,93,85
89,88.02,93,83
90,88.3,93,83
91,88.14,92,82
92,87.72,91,82
93,87.86,91,82
94,87.38,91,82
95,87.02,91,82
96,86.98,91,82
97,86.92,91,82
98,87.04,91,82
99,87.54,91,81
100,87.62,91,81
101,87.66,91,81
102,88.0,92,81
103,87.18,91,81
104,86.9,91,82
105,86.58,90,82
106,86.06,92,78
107,86.16,93,78
108,86.18,93,78
109,85.6,93,79
110,85.22,93,79
111,85.02,93,79
112,85.08,93,79
113,85.64,93,80
114,85.1,93,80
115,83.94,92,78
116,84.14,92,78
117,84.68,92,78
118,83.96,92,77
119,84.04,92,77
120,83.86,92,78
121,83.52,92,78
122,83.28,92,78
123,83.22,92,78
124,82.96,92,78
125,82.62,92,77
126,83.08,92,77
127,82.52,92,73
128,83.12,92,73
129,83.28,92,73
130,82.82,92,73
131,82.46,92,73
132,82.6,92,76
133,82.04,92,76
134,81.78,92,76
135,81.56,92,76
136,81.32,92,76
137,81.42,87,76
138,81.62,85,76
139,81.6,85,75
140,81.82,85,75
141,81.54,85,75
142,81.56,85,75
143,81.5,87,72
144,81.06,87,72
145,80.66,87,72
146,80.36,87,72
147,80.44,87,72
148,80.88,87,72
149,80.64,87,74
150,80.52,87,74
151,80.54,87,74
152,80.64,87,74
153,80.52,87,74
154,81.06,87,75
155,80.7,86,76
156,80.68,87,76
157,80.6,87,76
158,80.62,87,76
159,80.84,87,76
160,80.32,84,75
161,80.42,84,75
162,80.06,84,75
163,80.46,84,75
164,80.54,84,75
165,80.08,87,74
166,79.58,87,74
167,79.62,87,73
168,80.0,87,73
169,80.04,87,74
170,80.02,87,74
171,79.9,87,74
172,80.28,87,76
173,80.64,87,76
174,80.86,87,76
175,80.28,87,76
176,80.68,86,76
177,80.38,86,75
178,80.12,86,75
179,80.68,86,75
180,80.74,85,76
181,80.8,85,76
182,80.38,85,75
183,80.74,85,75
184,80.98,85,75
185,80.6,85,75
186,80.58,85,77
187,79.8,84,72
188,80.12,84,75
189,79.96,84,75
190,80.36,84,77
191,79.92,84,77
192,80.16,86,77
193,80.46,84,77
194,80.92,84,77
195,81.24,84,77
196,80.7,84,77
197,80.76,84,77
198,80.94,84,77
199,80.7,85,75
200,80.76,85,74
