Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.02,100,94
2,98.94,100,93
3,98.7,100,93
4,98.62,100,93
5,98.52,100,93
6,98.44,100,93
7,98.24,100,92
8,98.18,100,93
9,98.28,100,93
10,98.38,100,94
11,98.24,100,94
12,98.16,100,94
13,98.24,100,94
14,98.14,100,94
15,98.08,100,94
16,97.98,100,93
17,97.96,100,93
18,97.76,100,93
19,97.72,100,93
20,97.62,100,93
21,97.54,100,93
22,97.48,100,93
23,97.54,100,93
24,97.34,100,92
25,97.32,100,92
26,97.34,100,92
27,97.1,100,89
28,97.16,100,89
29,97.14,100,89
30,96.96,100,89
31,96.88,100,89
32,96.76,100,89
33,96.78,100,89
34,96.44,100,89
35,96.66,100,89
36,96.74,100,89
37,96.54,100,89
38,96.38,100,89
39,96.0,100,89
40,96.18,100,89
41,95.94,100,89
42,95.82,100,88
43,95.68,100,88
44,95.58,100,88
45,95.92,100,89
46,95.88,100,89
47,96.14,100,89
48,96.1,100,89
49,96.08,100,89
50,95.96,100,89
51,95.66,100,89
52,95.62,100,89
53,95.46,100,89
54,95.34,100,89
55,95.1,100,88
56,95.48,100,88
57,95.54,100,88
58,95.34,100,88
59,95.5,100,88
60,95.58,100,88
61,95.48,99,88
62,95.56,99,88
63,95.38,99,88
64,95.24,99,87
65,95.3,99,87
66,95.26,99,87
67,95.18,99,87
68,95.04,99,87
69,95.18,99,87
70,95.18,99,87
71,94.74,99,82
72,94.78,99,82
73,94.36,99,82
74,94.66,99,86
75,94.7,99,86
76,94.84,99,86
77,94.36,99,86
78,94.8,99,86
79,94.68,99,86
80,94.72,100,86
81,94.62,100,86
82,94.22,100,86
83,94.02,100,86
84,94.04,100,86
85,94.12,100,86
86,94.48,100,86
87,94.56,100,86
88,94.46,100,87
89,93.9,100,85
90,93.56,100,85
91,93.4,100,85
92,92.98,98,85
93,92.86,98,85
94,92.78,98,85
95,92.98,98,85
96,92.94,98,85
97,92.8,98,85
98,92.86,98,85
99,92.6,98,85
100,92.26,98,85
101,92.02,96,85
102,91.76,96,85
103,91.92,96,85
104,91.84,96,85
105,91.56,96,85
106,91.72,96,85
107,91.46,96,85
108,91.06,96,85
109,91.2,96,85
110,90.8,97,85
111,90.68,97,85
112,90.7,97,85
113,90.3,97,85
114,89.96,97,84
115,90.24,97,84
116,90.34,97,84
117,90.46,97,84
118,90.38,97,84
119,90.36,97,84
120,90.4,97,85
121,90.02,97,84
122,90.02,97,84
123,89.92,96,84
124,89.46,96,84
125,89.42,96,84
126,89.64,96,84
127,89.8,96,84
128,89.92,96,84
129,90.06,96,84
130,90.04,96,84
131,89.38,96,83
132,88.9,96,83
133,88.72,96,83
134,88.52,94,83
135,88.82,94,83
136,88.84,94,83
137,88.5,94,83
138,88.08,94,83
139,87.9,94,83
140,87.64,94,80
141,87.46,94,80
142,87.18,94,80
143,87.16,94,80
144,87.22,94,80
145,87.56,94,80
146,87.46,94,80
147,87.66,94,80
148,87.76,94,80
149,87.72,94,80
150,87.16,93,80
151,87.0,93,79
152,86.86,93,79
153,86.72,93,79
154,86.6,93,79
155,86.44,93,79
156,86.1,93,79
157,85.96,93,79
158,85.84,93,79
159,85.22,93,76
160,85.82,93,76
161,85.44,93,76
162,85.74,93,76
163,85.68,93,76
164,85.9,93,76
165,85.34,92,76
166,85.38,92,76
167,85.5,92,81
168,85.26,92,81
169,85.5,92,81
170,85.34,92,81
171,85.1,92,81
172,85.58,94,81
173,85.24,94,79
174,85.4,94,81
175,84.76,92,79
176,84.46,92,79
177,84.14,92,79
178,84.28,91,79
179,83.9,91,79
180,84.16,91,80
181,84.34,89,80
182,84.18,90,80
183,84.16,90,80
184,83.38,90,79
185,83.34,90,79
186,83.1,90,79
187,83.22,90,79
188,83.56,91,79
189,83.42,91,79
190,82.88,91,77
191,82.84,91,77
192,82.8,91,77
193,82.52,90,77
194,82.44,90,77
195,82.1,87,77
196,82.08,87,77
197,81.58,87,76
198,81.68,87,76
199,81.94,87,77
200,81.26,87,77
