Generation,Average_Fitness,Worst_Fit,Best_Fit
1,480.3456072142967,530.3162729556672,382.30065934325825
2,452.07877526274126,522.6853547540877,361.2157653613722
3,413.0707619265476,506.60811249106916,326.6767223183199
4,386.8666214387134,474.5549781983103,287.18217106844565
5,345.4041662724952,460.6454033352834,273.53538223914666
6,307.42566014420737,375.921998121719,235.0432856721813
7,277.9434543333889,342.8932270885971,209.59883367363344
8,261.85962803072283,302.65508579216555,209.59883367363344
9,235.86374508642038,274.89709640390475,187.45090541009995
10,206.59959215996952,270.9147028137288,163.12379962046847
11,189.34892848034488,250.3893847342669,163.12379962046847
12,171.7013586780167,211.224058855871,140.65833566952386
13,159.7250314120059,190.23960555893538,125.73681147218679
14,151.0740466665509,165.40912975104035,125.73681147218679
15,142.8567314286541,163.12379962046847,125.73681147218679
16,135.82155645773085,160.09014345450836,121.62483426064288
17,129.8483707869925,151.02692765399973,116.273942100097
18,122.6526039630878,142.56504724124542,109.69396335967535
19,118.96028119199661,130.10958716772518,108.28317384127499
20,112.59058486105961,127.54009806354274,91.48773374096632
21,108.56555725553679,120.36091750699872,91.48773374096632
22,103.84854955066902,117.18718598109656,91.48773374096632
23,99.54856408159515,111.49987824012672,89.34990762197307
24,96.16678567701177,108.47999614950183,77.04655702850415
25,91.24414261395783,104.39983277887876,77.04655702850415
26,88.52789837588399,99.57393035123623,77.04655702850415
27,86.58093807587383,92.08618155987571,77.04655702850415
28,84.3967820580429,91.48773374096632,77.04655702850415
29,82.16026140841646,90.91458518661443,77.04655702850415
30,79.80857683762683,84.75644764171531,72.98963600525813
31,77.34951272345432,84.0907130149647,72.98963600525813
32,76.23054895867193,79.62745096284233,72.98963600525813
33,75.30885746321901,77.04655702850415,72.98963600525813
34,73.04162503814344,80.22434706234966,64.0333102113545
35,72.14565680906662,79.18902617444296,64.0333102113545
36,69.70244589679415,75.22434706234968,59.1231671253632
37,67.40024855866348,77.53834857811225,58.45382682832965
38,64.26814020340377,75.76804562987607,56.41726047006838
39,61.31742204151754,69.1434076760221,56.41726047006838
40,60.68054281336851,69.64792390669918,56.41726047006838
41,58.898063690924204,63.30536883147963,56.41726047006838
42,57.95067883609739,63.22026970404139,56.41726047006838
43,57.48932367759464,61.417260470068385,55.719704752061816
44,57.2850966153644,59.151382546336215,55.719704752061816
45,56.821640523528224,58.45382682832965,55.719704752061816
46,56.615071804370615,58.45382682832965,55.719704752061816
47,56.31735863771713,59.151382546336215,55.719704752061816
48,57.08243372542522,76.41726047006838,55.719704752061816
49,56.459215895663085,66.41726047006838,55.719704752061816
50,55.961558095142166,60.71970475206182,55.719704752061816
51,55.81970475206176,60.71970475206182,55.719704752061816
52,55.81970475206176,60.71970475206182,55.719704752061816
