Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.48,100,97
2,97.34,100,94
3,96.46,98,94
4,95.58,97,92
5,94.78,97,90
6,94.24,96,93
7,93.2,96,89
8,92.0,94,87
9,90.58,94,87
10,89.4,92,87
11,88.36,91,85
12,87.64,91,85
13,86.22,90,81
14,85.22,88,81
15,84.12,88,81
16,83.06,86,80
17,82.3,85,78
18,81.62,85,79
19,80.36,83,78
20,79.54,81,77
21,78.7,81,77
22,77.88,80,77
23,77.1,78,75
24,76.2,78,74
25,75.42,78,72
26,74.44,77,72
27,73.32,76,70
28,71.82,75,70
29,71.2,73,70
30,70.62,73,69
31,69.98,71,68
32,69.56,71,68
33,69.0,70,67
34,68.32,70,67
35,67.52,69,65
36,66.82,69,65
37,65.82,68,63
38,64.9,67,62
39,64.38,66,62
40,63.8,66,61
41,62.9,65,61
42,62.52,65,61
43,62.06,63,61
44,61.86,63,61
45,61.68,62,61
46,61.34,62,60
47,61.04,62,60
48,60.62,61,59
49,60.18,61,59
50,60.0,61,59
51,59.74,60,59
52,59.56,60,59
53,59.2,60,58
54,58.88,60,58
55,58.64,59,56
56,58.22,59,56
57,57.96,59,56
58,57.36,58,56
59,56.76,58,56
60,56.2,58,56
61,56.0,56,56
62,56.0,56,56
63,56.0,56,56
64,56.0,56,56
65,56.0,56,56
66,56.0,56,56
67,56.0,56,56
68,56.0,56,56
69,56.0,56,56
70,56.0,56,56
71,56.0,56,56
72,56.0,56,56
73,56.0,56,56
74,56.0,56,56
75,56.0,56,56
76,56.0,56,56
77,56.0,56,56
78,56.0,56,56
79,56.0,56,56
80,56.0,56,56
81,56.0,56,56
82,56.0,56,56
83,56.0,56,56
84,56.0,56,56
85,56.0,56,56
86,56.0,56,56
87,56.0,56,56
88,56.0,56,56
89,56.0,56,56
90,56.0,56,56
91,56.0,56,56
92,56.0,56,56
93,56.0,56,56
94,56.0,56,56
95,56.0,56,56
96,56.0,56,56
97,56.0,56,56
98,56.0,56,56
99,56.0,56,56
100,56.0,56,56
101,56.0,56,56
102,56.0,56,56
103,56.0,56,56
104,56.0,56,56
105,56.0,56,56
106,56.0,56,56
107,56.0,56,56
108,56.0,56,56
109,56.0,56,56
110,56.0,56,56
111,56.0,56,56
112,56.0,56,56
113,56.0,56,56
114,56.0,56,56
115,56.0,56,56
116,56.0,56,56
117,56.0,56,56
118,56.0,56,56
119,56.0,56,56
120,56.0,56,56
121,56.0,56,56
122,56.0,56,56
123,56.0,56,56
124,56.0,56,56
125,56.0,56,56
126,56.0,56,56
127,56.0,56,56
128,56.0,56,56
129,56.0,56,56
130,56.0,56,56
131,56.0,56,56
132,56.0,56,56
133,56.0,56,56
134,56.0,56,56
135,56.0,56,56
136,56.0,56,56
137,56.0,56,56
138,56.0,56,56
139,56.0,56,56
140,56.0,56,56
141,56.0,56,56
142,56.0,56,56
143,56.0,56,56
144,56.0,56,56
145,56.0,56,56
146,56.0,56,56
147,56.0,56,56
148,56.0,56,56
149,56.0,56,56
150,56.0,56,56
151,56.0,56,56
152,56.0,56,56
153,56.0,56,56
154,56.0,56,56
155,56.0,56,56
156,56.0,56,56
157,56.0,56,56
158,56.0,56,56
159,56.0,56,56
160,56.0,56,56
161,56.0,56,56
162,56.0,56,56
163,56.0,56,56
164,56.0,56,56
165,56.0,56,56
166,56.0,56,56
167,56.0,56,56
168,56.0,56,56
169,56.0,56,56
170,56.0,56,56
171,56.0,56,56
172,56.0,56,56
173,56.0,56,56
174,56.0,56,56
175,56.0,56,56
176,56.0,56,56
177,56.0,56,56
178,56.0,56,56
179,56.0,56,56
180,56.0,56,56
181,56.0,56,56
182,56.0,56,56
183,56.0,56,56
184,56.0,56,56
185,56.0,56,56
186,56.0,56,56
187,56.0,56,56
188,56.0,56,56
189,56.0,56,56
190,56.0,56,56
191,56.0,56,56
192,56.0,56,56
193,56.0,56,56
194,56.0,56,56
195,56.0,56,56
196,56.0,56,56
197,56.0,56,56
198,56.0,56,56
199,56.0,56,56
200,56.0,56,56
