Generation,Average_Fitness,Worst_Fit,Best_Fit
1,953.7453052897889,1018.630239344327,791.7385043181972
2,907.1982136746348,988.9207163242434,667.9889384807955
3,852.152405042276,959.8462961555487,667.9889384807955
4,804.2205233490562,884.5362035991309,628.6466567855808
5,753.9405152100798,836.439399276007,597.3597872956575
6,704.3305905139484,797.6872055710656,551.8192540780722
7,674.9180439757835,748.0617131074353,551.8192540780722
8,639.3581244285208,699.0046698835476,547.4411619683692
9,590.7569199329031,665.4886763298973,455.14189222562777
10,556.6313697175627,616.8880248901851,455.14189222562777
11,516.4791524975803,581.7320395533094,411.1676756747642
12,485.2580746447126,532.5499687867829,391.2020944295936
13,454.236198349548,511.71349919472834,376.58480673117356
14,431.6011167660707,471.9480828003026,366.6720745371255
15,410.30675021952055,446.8574482086848,333.0633199048452
16,391.9385641432265,424.61655728331027,333.0633199048452
17,378.03309780742813,406.71415105220586,333.0633199048452
18,364.7709321642059,384.61954984831993,331.32542960314026
19,354.2244115272666,373.7349778754775,313.68213796788217
20,345.73388292066454,363.44352338805015,313.68213796788217
21,337.92650616116543,353.57947379264135,306.7465791781691
22,330.8903437458896,342.1592008441936,304.08646927793717
23,326.51531020506957,338.39900871742833,302.1195047754621
24,321.2039066974053,332.1726369359445,296.92313131785227
25,315.48149384790077,328.30840743764423,287.909050911067
26,309.147245962441,321.7192764421616,282.3365338881848
27,303.85324583575476,316.56092890407047,282.3365338881848
28,297.73336246186517,308.1907990636838,282.3365338881848
29,292.8389702937208,302.7585801090032,282.1217362197483
30,289.85811479168825,295.55236132059207,281.11070387193854
31,287.8185519264489,292.52315932680403,281.11070387193854
32,286.0192967191906,290.33627412628323,274.4294112030723
33,283.9604160356392,287.4558341162651,274.4294112030723
34,282.4490630951086,286.04143115317055,274.4294112030723
35,281.3300003377472,284.46597076767534,274.4294112030723
36,279.7005416653247,283.38029636301235,271.4148737314349
37,278.7939737026883,282.13873488567714,271.4148737314349
38,276.6548047699241,281.0553021804325,266.68462731241397
39,275.12716272695604,278.74733551196493,266.68462731241397
40,273.7589387651315,277.84007979031514,266.68462731241397
41,272.7193932514518,274.7331884714442,266.68462731241397
42,272.226531024054,273.7054737262636,266.68462731241397
43,271.45807787830273,273.40360421193503,266.68462731241397
44,270.54588391982304,273.04201038894826,266.68462731241397
45,269.82739701952977,271.4148737314349,266.68462731241397
46,269.1758724864787,270.49602649248067,265.74135941122967
47,268.47913920342836,270.37208366410954,265.74135941122967
48,267.67011889044363,269.23800163418946,265.74135941122967
49,266.99794940635263,268.2558059017826,265.74135941122967
50,266.6304184512764,267.5318684249739,265.1321678418997
51,266.3071662641628,267.046619684015,265.1321678418997
52,266.0551995180864,266.68462731241397,265.1321678418997
53,265.8228127041127,266.02724301009204,265.1321678418997
54,265.78237528501705,265.91138270089306,265.1321678418997
55,265.76877342184395,265.91138270089306,265.1321678418997
56,265.710401101138,265.91138270089306,265.1321678418997
57,265.5767592728939,265.91138270089306,265.1321678418997
58,265.4724876902145,265.74135941122967,265.1321678418997
59,265.38645238307623,265.74135941122967,265.1321678418997
60,265.2143817687996,265.4180514407621,265.1321678418997
61,265.1572050490271,265.4180514407621,265.1321678418997
62,265.1321678418995,265.1321678418997,265.1321678418997
63,265.1321678418995,265.1321678418997,265.1321678418997
64,265.1321678418995,265.1321678418997,265.1321678418997
65,265.1321678418995,265.1321678418997,265.1321678418997
66,265.1321678418995,265.1321678418997,265.1321678418997
67,265.1321678418995,265.1321678418997,265.1321678418997
68,265.1321678418995,265.1321678418997,265.1321678418997
69,265.1321678418995,265.1321678418997,265.1321678418997
70,265.1321678418995,265.1321678418997,265.1321678418997
71,265.1321678418995,265.1321678418997,265.1321678418997
72,265.1321678418995,265.1321678418997,265.1321678418997
73,265.1321678418995,265.1321678418997,265.1321678418997
74,265.1321678418995,265.1321678418997,265.1321678418997
75,265.1321678418995,265.1321678418997,265.1321678418997
76,265.1321678418995,265.1321678418997,265.1321678418997
77,265.1321678418995,265.1321678418997,265.1321678418997
78,265.1321678418995,265.1321678418997,265.1321678418997
79,265.1321678418995,265.1321678418997,265.1321678418997
80,265.1321678418995,265.1321678418997,265.1321678418997
81,265.1321678418995,265.1321678418997,265.1321678418997
82,265.1321678418995,265.1321678418997,265.1321678418997
83,265.1321678418995,265.1321678418997,265.1321678418997
84,265.1321678418995,265.1321678418997,265.1321678418997
85,265.1321678418995,265.1321678418997,265.1321678418997
86,265.1321678418995,265.1321678418997,265.1321678418997
87,265.1321678418995,265.1321678418997,265.1321678418997
88,265.1321678418995,265.1321678418997,265.1321678418997
89,265.1321678418995,265.1321678418997,265.1321678418997
90,265.1321678418995,265.1321678418997,265.1321678418997
91,265.1321678418995,265.1321678418997,265.1321678418997
92,265.1321678418995,265.1321678418997,265.1321678418997
93,265.1321678418995,265.1321678418997,265.1321678418997
94,265.1321678418995,265.1321678418997,265.1321678418997
95,265.1321678418995,265.1321678418997,265.1321678418997
96,265.1321678418995,265.1321678418997,265.1321678418997
97,265.1321678418995,265.1321678418997,265.1321678418997
98,265.1321678418995,265.1321678418997,265.1321678418997
99,265.1321678418995,265.1321678418997,265.1321678418997
100,265.1321678418995,265.1321678418997,265.1321678418997
101,265.1321678418995,265.1321678418997,265.1321678418997
102,265.1321678418995,265.1321678418997,265.1321678418997
103,265.1321678418995,265.1321678418997,265.1321678418997
104,265.1321678418995,265.1321678418997,265.1321678418997
105,265.1321678418995,265.1321678418997,265.1321678418997
106,265.1321678418995,265.1321678418997,265.1321678418997
107,265.1321678418995,265.1321678418997,265.1321678418997
108,265.1321678418995,265.1321678418997,265.1321678418997
109,265.1321678418995,265.1321678418997,265.1321678418997
110,265.1321678418995,265.1321678418997,265.1321678418997
111,265.1321678418995,265.1321678418997,265.1321678418997
112,265.1321678418995,265.1321678418997,265.1321678418997
113,265.1321678418995,265.1321678418997,265.1321678418997
114,265.1321678418995,265.1321678418997,265.1321678418997
115,265.1321678418995,265.1321678418997,265.1321678418997
116,265.1321678418995,265.1321678418997,265.1321678418997
117,265.1321678418995,265.1321678418997,265.1321678418997
118,265.1321678418995,265.1321678418997,265.1321678418997
119,265.1321678418995,265.1321678418997,265.1321678418997
120,265.1321678418995,265.1321678418997,265.1321678418997
121,265.1321678418995,265.1321678418997,265.1321678418997
122,265.1321678418995,265.1321678418997,265.1321678418997
