Generation,Average_Fitness,Worst_Fit,Best_Fit
1,490.1411839679849,551.1260844094154,356.8271533069744
2,480.3247598330821,551.1260844094154,356.8271533069744
3,475.80155416415516,551.1260844094154,334.3834263911852
4,462.66413875254113,551.1260844094154,302.24637909685345
5,456.01640734997255,551.1260844094154,302.24637909685345
6,447.7078866792284,551.1260844094154,323.72044839578365
7,445.6955771141668,551.1260844094154,309.89973300997195
8,444.176850557742,551.1260844094154,248.20571457202283
9,450.40393523729284,551.1260844094154,248.20571457202283
10,455.189240857253,551.1260844094154,248.20571457202283
11,455.9052953596256,534.4514471485772,348.4699967183275
12,442.43085567721954,534.4514471485772,256.58660724173586
13,429.15050594289477,534.4514471485772,256.58660724173586
14,423.95571067804303,534.4514471485772,288.7966374193837
15,419.2059984107457,534.4514471485772,288.7966374193837
16,422.1735486894533,525.376424476602,263.1533516060605
17,417.832272135578,525.376424476602,263.1533516060605
18,413.97098780312626,515.5950132487176,271.1650691315584
19,397.81659034048454,512.1801652639791,262.0403105794402
20,385.75277362670965,512.1801652639791,253.51676700901226
21,386.49091996821466,512.1801652639791,228.09988663862865
22,394.6820913166541,512.1801652639791,262.0403105794402
23,394.1086566532441,512.1801652639791,258.424506584862
24,376.5349015574179,512.1801652639791,258.424506584862
25,366.124333329045,512.1801652639791,232.41869375812797
26,378.9638380542632,502.3008929154267,242.1313367062246
27,382.36654123609514,502.3008929154267,235.53246165804313
28,388.6952426191914,502.3008929154267,254.84948624833393
29,392.8304364225146,502.3008929154267,233.27131146509586
30,390.1967568600386,502.3008929154267,219.89901199761152
31,393.8359104688965,502.3008929154267,243.909252130567
32,381.05811547917887,502.3008929154267,210.23710559541647
33,371.3334385293485,496.0923496432463,210.23710559541647
34,366.73983351738366,496.0923496432463,222.5041739852993
35,355.2888221033769,486.9211126354339,175.65652952755713
36,354.1283109635987,486.9211126354339,164.2864561927578
37,360.6511386897184,486.9211126354339,150.58657132509134
38,356.3444092744639,486.9211126354339,172.8657243426082
39,350.93248360785583,486.9211126354339,172.8657243426082
40,354.0552251440271,486.9211126354339,187.26724275226115
41,363.84778894861876,486.9211126354339,187.26724275226115
42,360.0218658433215,486.9211126354339,187.26724275226115
43,352.99235598201716,486.9211126354339,187.26724275226115
44,340.3658401520441,486.9211126354339,187.26724275226115
45,329.5523360176287,486.9211126354339,221.14840306963868
46,332.8609077369416,486.9211126354339,221.72808684989516
47,324.4056088778853,460.68826698362307,188.57212418217586
48,328.70514741884267,460.68826698362307,188.57212418217586
49,324.25840032129685,460.68826698362307,188.57212418217586
50,322.025980192898,460.68826698362307,190.26929836471834
51,316.4896425914788,447.38030914256944,210.08410432594732
52,313.74123597619086,447.38030914256944,210.08410432594732
53,316.7433057134216,447.38030914256944,223.81194246436138
54,312.51774173280455,437.8703552120108,210.8619951960936
55,309.2021771891359,437.8703552120108,210.8619951960936
56,320.34825102953624,437.8703552120108,210.8619951960936
57,324.3598992707081,437.8703552120108,228.19879908781576
58,314.9140653328226,420.1112551023958,228.19879908781576
59,301.68109518525483,403.97180251757624,171.90651823206008
60,299.11283076510733,403.97180251757624,201.01660213341682
61,302.03935094226983,403.97180251757624,201.01660213341682
62,302.16710634257043,403.97180251757624,189.2701013744849
63,297.64116927872027,403.97180251757624,158.8731509304064
64,301.5128175886843,403.97180251757624,189.2701013744849
65,301.32030883035605,403.97180251757624,189.2701013744849
66,300.75790998315284,403.97180251757624,183.5522663752676
67,301.0605954542676,403.97180251757624,179.8577207295243
68,300.6955971054663,374.4466972286646,179.8577207295243
69,296.2113129960399,374.4466972286646,217.87101098927664
70,297.80573592508705,374.4466972286646,216.35487749329275
71,290.7866309738258,374.4466972286646,190.2281069240996
72,291.1127107273384,374.4466972286646,190.2281069240996
73,287.13981781287595,374.4466972286646,190.2281069240996
74,277.5833071158483,374.4466972286646,182.18465908771086
75,284.83082286384024,376.3149399237536,190.2281069240996
76,279.3806487677073,376.3149399237536,174.2089142945771
77,279.3125053104111,389.33673051145524,168.66639430154174
78,274.80883271802315,389.33673051145524,174.2089142945771
79,264.3440514973952,389.33673051145524,146.23649328422167
80,257.9964036080734,389.33673051145524,165.71930107442378
81,253.82908728515463,389.33673051145524,165.71930107442378
82,254.31766325719175,389.33673051145524,165.71930107442378
83,265.5504708080703,389.33673051145524,196.20985927161644
84,258.49828144363875,389.33673051145524,169.381874675638
85,265.3162588659667,389.33673051145524,169.381874675638
