Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.6,100,94
2,98.62,100,94
3,98.38,100,94
4,98.2,100,94
5,98.0,100,94
6,98.14,100,94
7,98.14,100,94
8,97.88,100,92
9,97.76,100,92
10,97.58,100,92
11,97.78,100,92
12,97.96,100,92
13,97.88,100,92
14,97.78,100,92
15,97.78,100,93
16,97.6,100,94
17,97.7,100,93
18,97.68,100,91
19,97.98,100,95
20,98.02,100,95
21,97.74,100,95
22,97.66,100,94
23,97.32,100,94
24,97.24,100,94
25,96.98,100,94
26,96.84,100,93
27,97.26,100,93
28,96.86,100,92
29,96.86,100,92
30,96.82,100,92
31,96.64,100,92
32,96.44,100,90
33,96.3,100,89
34,96.34,100,89
35,96.02,100,89
36,96.04,100,89
37,95.76,100,89
38,96.12,100,89
39,95.36,100,86
40,95.14,100,86
41,95.16,99,86
42,95.44,99,86
43,94.78,99,86
44,94.16,99,86
45,94.26,100,88
46,94.14,100,89
47,93.92,99,88
48,94.06,99,89
49,93.96,99,89
50,93.46,98,87
51,93.52,98,87
52,94.0,98,87
53,93.58,98,87
54,93.14,98,87
55,93.46,98,87
56,93.64,98,87
57,93.7,98,87
58,93.26,98,87
59,93.26,97,89
60,93.38,97,89
61,93.08,97,86
62,92.76,97,86
63,92.92,97,88
64,92.7,97,87
65,92.96,97,89
66,93.2,97,89
67,92.92,98,88
68,92.4,96,88
69,92.3,97,88
70,92.46,97,89
71,92.52,98,89
72,92.96,97,86
73,93.24,97,86
74,93.64,97,86
75,93.54,97,86
76,93.6,98,86
77,93.02,98,84
78,93.32,98,84
79,93.28,98,84
80,93.22,98,84
81,92.76,96,84
82,92.56,96,84
83,92.46,96,86
84,92.4,96,88
85,92.3,96,87
86,91.82,96,87
87,92.08,96,88
88,92.06,95,88
89,91.92,96,82
90,91.66,95,82
91,91.7,95,86
92,91.58,95,86
93,91.24,95,86
94,90.86,95,86
95,90.68,95,86
96,90.72,95,85
97,90.48,95,83
98,90.86,95,86
99,90.82,95,86
100,90.76,95,87
101,90.36,95,86
102,90.02,95,85
103,90.0,95,85
104,89.74,95,86
105,90.06,94,86
106,90.1,94,86
107,90.02,95,84
108,89.84,96,84
109,90.22,96,83
110,90.2,96,83
111,90.32,96,83
112,89.94,94,83
113,89.98,94,84
114,90.16,94,85
115,89.82,94,83
116,89.34,97,79
117,88.72,97,79
118,88.82,93,82
119,88.5,94,83
120,88.62,94,82
121,88.24,94,82
122,87.98,94,82
123,87.68,94,82
124,87.0,94,82
125,86.88,94,80
126,86.8,94,80
127,86.72,94,80
128,87.72,95,80
129,87.9,95,80
130,88.02,95,80
131,88.34,95,80
132,87.7,95,80
133,87.62,95,80
134,88.3,95,80
135,88.56,95,80
136,88.42,95,78
137,88.88,95,79
138,88.96,95,79
139,89.4,95,79
140,89.06,95,79
141,88.98,95,80
142,88.7,95,80
143,88.44,95,80
144,88.98,95,80
145,89.06,95,80
146,88.84,95,80
147,88.88,95,83
148,89.26,94,83
149,89.26,94,85
150,89.12,93,84
151,88.8,92,84
152,88.46,92,83
153,88.58,92,83
154,88.6,92,84
155,88.68,92,84
156,88.5,92,83
157,88.38,92,83
158,88.4,92,84
159,88.4,92,84
160,88.3,93,83
161,88.46,92,80
162,88.46,93,80
163,87.76,93,80
164,87.84,92,81
165,87.2,92,80
166,87.0,92,80
167,87.32,92,80
168,86.56,92,81
169,86.2,92,81
170,86.32,91,81
171,87.08,92,81
172,87.24,92,81
173,86.54,92,79
174,86.74,91,79
175,86.84,91,79
176,86.8,91,79
177,87.06,91,80
178,86.4,91,80
179,85.76,91,80
180,85.4,91,80
181,85.8,91,80
182,85.7,91,81
183,84.74,91,81
184,84.2,91,81
185,84.42,91,81
186,84.22,91,79
187,84.44,91,79
188,84.52,91,79
189,84.4,91,79
190,84.04,91,79
191,83.9,91,79
192,84.1,91,79
193,84.06,91,79
194,83.98,91,79
195,84.24,91,79
196,84.08,91,79
197,83.88,91,77
198,83.9,91,78
199,83.6,91,78
200,83.38,91,78
