Generation,Average_Fitness,Worst_Fit,Best_Fit
<<<<<<< HEAD
1,985.842989406453,1081.1533395175084,813.0270877679911
2,971.5979086523251,1081.1533395175084,831.2408432394564
3,948.679899489392,1081.1533395175084,742.1006553986065
4,951.0985894517726,1081.1533395175084,742.1006553986065
5,943.3545597441592,1081.1533395175084,678.6228294279085
6,912.6141511210345,1080.863232502419,653.0442353927255
7,900.6794825883859,1080.863232502419,586.716238585217
8,903.5680978059478,1080.863232502419,586.716238585217
9,861.6467345079437,1068.6022576038442,546.6306138075639
10,873.940123674245,1068.6022576038442,561.579730977641
11,855.82591335815,1068.6022576038442,561.579730977641
12,821.8062719977338,1068.6022576038442,550.4514260259097
13,828.946599630123,1064.1710731123048,550.4514260259097
14,793.8343501026218,1064.1710731123048,511.9117956795426
15,790.7203151221605,1064.1710731123048,502.7847396932259
16,801.6986771172269,1064.1710731123048,502.7847396932259
17,781.9977028524974,1032.9614338436859,502.7847396932259
18,763.4368849769957,1032.9614338436859,502.7847396932259
19,761.3943075117676,1032.9614338436859,435.0716032409887
20,756.5193370679253,1008.9043280057865,440.05903890395246
21,744.2467883445919,979.2766314268719,494.64429375837176
22,710.2106572539515,979.2766314268719,435.65188936575186
23,717.7067318151378,979.2766314268719,435.65188936575186
24,707.62309926678,906.6390255350175,435.65188936575186
25,709.421410066256,893.8948597940257,432.3167536125018
26,706.1427486139224,893.8948597940257,432.3167536125018
27,701.882380725818,894.1529721561257,397.5968402522094
28,697.2236773091972,894.1529721561257,397.5968402522094
29,703.7560102983668,911.127334510941,363.28296116958757
30,685.2745919269775,911.127334510941,363.28296116958757
31,677.5401854398395,911.127334510941,363.28296116958757
32,689.4117619494339,911.127334510941,475.81167868153733
33,685.1605559588011,911.127334510941,475.81167868153733
34,670.8838827976592,911.127334510941,465.2001516297161
35,646.1211262679426,869.9347062567638,400.55949953617204
36,625.1752675586434,869.9347062567638,400.55949953617204
37,637.3301656434304,879.9451151804926,400.55949953617204
38,642.9615036352627,879.9451151804926,461.8523183378347
39,634.8194874841242,879.9451151804926,461.8523183378347
40,629.9247314627097,879.9451151804926,461.8523183378347
41,625.684394216793,879.9451151804926,461.8523183378347
42,626.6878981627209,879.9451151804926,463.81476706865004
43,631.5750794366718,879.9451151804926,463.81476706865004
44,628.95173507593,879.9451151804926,446.67103923833037
45,614.302579115257,879.9451151804926,446.67103923833037
46,620.7579471207047,879.9451151804926,439.709604191384
47,592.1896014293235,879.9451151804926,439.0682184863697
48,594.6209753102798,883.3964627584037,361.4234862453752
49,572.938095891907,879.9451151804926,361.4234862453752
50,558.9834972407588,879.9451151804926,387.86069046870733
51,552.4912203255749,879.9451151804926,396.6816464245228
52,557.6017994341404,879.9451151804926,397.9198514308912
53,558.2718814834708,879.9451151804926,332.6701811043098
54,554.9689961502445,879.9451151804926,332.6701811043098
55,551.8023686701941,879.9451151804926,390.4506190172113
56,546.8035244678489,879.9451151804926,369.41768800932954
57,531.5900497089247,879.9451151804926,369.41768800932954
58,513.597247606375,879.9451151804926,369.41768800932954
59,538.1493376860966,879.9451151804926,369.41768800932954
60,540.9798093872291,879.9451151804926,390.586696756732
61,527.4100009175597,879.9451151804926,397.42070257511955
62,548.072655380761,879.9451151804926,397.42070257511955
63,543.9141731075433,879.9451151804926,333.5916074710993
64,551.3048965124185,879.9451151804926,333.5916074710993
65,534.2928114938355,764.3417977895912,333.5916074710993
66,535.7546874578237,764.3417977895912,377.6667451534454
67,522.9138396744709,716.4755219156971,356.87260991800986
68,535.9931696253899,716.4755219156971,356.87260991800986
69,532.6622343621569,717.361141660161,356.87260991800986
70,549.6733930123783,717.361141660161,356.87260991800986
71,555.3046797063313,716.4755219156971,356.87260991800986
72,541.4099122640148,716.4755219156971,356.87260991800986
73,538.1649861235621,716.4755219156971,350.8292702014339
74,540.290765295235,716.4755219156971,356.87260991800986
75,539.8401523654252,716.4755219156971,356.87260991800986
76,539.4571835774067,716.4755219156971,356.87260991800986
77,548.2737855913504,696.3417334746226,356.87260991800986
78,551.1756883506048,696.3417334746226,356.87260991800986
79,537.2786559068165,701.3803980047062,341.78774191436236
80,535.5110792533432,701.3803980047062,341.78774191436236
81,541.2267204738861,701.3803980047062,341.78774191436236
82,537.1187416624709,701.3803980047062,341.78774191436236
83,537.6023976034803,701.3803980047062,413.82041308252354
84,523.9377564710576,701.3803980047062,378.88761704053945
85,512.6382916751065,701.3803980047062,378.88761704053945
86,506.1037041025578,701.3803980047062,378.88761704053945
87,509.30336707659063,701.3803980047062,388.5632774058524
88,506.38713401410735,701.3803980047062,386.4423736729263
89,508.33551900262705,638.0224971325086,386.4423736729263
90,501.0406952666555,623.7059674997959,386.4423736729263
91,483.6934766553923,623.7059674997959,350.45302562296075
92,493.01070883973864,623.7059674997959,351.5909332363194
93,487.1985350958746,623.7059674997959,351.5909332363194
94,474.1308593017947,616.122512060577,351.5909332363194
95,473.03016121179456,616.122512060577,351.5909332363194
96,472.3627797147841,616.122512060577,379.96620515973814
97,458.3969691930469,573.1954438459517,369.60272876495293
98,449.41435257672316,573.1954438459517,342.4437536862261
99,448.81910597651057,573.1954438459517,342.4437536862261
100,443.65399293642406,573.1954438459517,342.4437536862261
101,444.0440810363866,573.1954438459517,342.4437536862261
102,453.2039732547024,573.1954438459517,342.4437536862261
103,456.78708127167914,573.1954438459517,342.4437536862261
104,450.1325549834466,573.1954438459517,342.4437536862261
105,449.56291234831457,573.1954438459517,342.4437536862261
106,457.37652620829175,573.1954438459517,342.4437536862261
107,455.3828694156735,573.1954438459517,342.4437536862261
108,452.4068914203943,558.8753882069303,355.06689593528336
109,455.98014676716383,558.8753882069303,372.22980246938823
110,453.2761538471202,558.8753882069303,358.4887881387599
111,449.631268738803,558.8753882069303,358.4887881387599
112,441.62050282677546,558.8753882069303,346.3280577263638
113,431.1552689229208,533.0710784751733,346.3280577263638
114,428.25392664720465,533.0710784751733,336.23932497862677
115,417.49117777311324,533.0710784751733,339.74659833163946
116,414.796264207186,533.0710784751733,341.2306243298224
117,416.1751284245762,533.0710784751733,341.2306243298224
118,402.45878234637945,532.0653343194653,350.0215330315821
119,406.011820796685,532.0653343194653,342.1100239097895
120,392.8689648798829,532.0653343194653,336.55048594481696
121,393.0220397110333,532.0653343194653,327.94795540474917
122,393.73563146186194,492.9812728637498,327.94795540474917
123,395.3447104563087,492.9812728637498,335.6570798215696
124,393.830527617567,492.9812728637498,335.6570798215696
125,385.9084558657308,492.9812728637498,325.2842280462148
126,383.20379592366703,492.9812728637498,325.2842280462148
127,382.9640469154079,492.9812728637498,323.7767631180869
128,378.72764956982036,486.6209657681932,325.2842280462148
129,374.99556273860685,439.5148679299905,332.59747358045246
130,373.5280629095151,439.5148679299905,332.59747358045246
131,369.2865107780644,432.401426775094,323.9723393792235
132,366.8998591374443,432.401426775094,317.0286658033226
133,372.66310140393534,432.401426775094,323.13282047888083
134,371.46322439927206,432.401426775094,323.9723393792235
135,371.38610323308114,432.401426775094,321.69835894176464
136,365.23300843828895,432.401426775094,321.69835894176464
137,360.8805019167556,432.401426775094,321.69835894176464
138,358.20101471438,432.401426775094,321.69835894176464
139,354.2718644650254,418.00944897161276,321.69835894176464
140,353.08283537834956,418.00944897161276,328.1629201139782
141,350.86593577647545,418.00944897161276,321.37060170149806
142,350.6572765128949,418.00944897161276,305.1647892133516
143,347.2735563493785,418.00944897161276,300.2400858789835
144,344.6956152248854,418.00944897161276,300.2400858789835
145,342.77192886042445,418.00944897161276,314.6285218297166
146,341.79955772899285,418.00944897161276,314.6285218297166
147,337.4410793647559,418.00944897161276,310.4657398746004
148,335.71605878110245,383.3230672859113,302.9737473133362
149,333.2638041563681,383.3230672859113,302.9737473133362
150,330.4353434670173,377.43009625013747,302.9737473133362
151,330.67617018360687,377.43009625013747,302.9737473133362
152,328.8277733392473,367.57067829570536,302.9737473133362
153,328.5642068333018,367.57067829570536,302.9737473133362
154,328.6937419334041,367.57067829570536,302.9737473133362
155,330.6199575305391,367.57067829570536,310.2652570052326
156,330.0915265880399,367.57067829570536,310.2652570052326
157,330.76444963878004,373.08835997166625,311.0759645404206
158,327.82687819968106,373.08835997166625,307.2782337732108
159,329.7807540856471,373.08835997166625,311.0759645404206
160,325.35870829162536,364.18587453870083,310.58135269265057
161,324.7075225828221,364.18587453870083,306.0737443014553
162,324.0016312909084,364.18587453870083,306.0737443014553
163,322.4908887603974,363.3128306183329,306.0737443014553
164,320.41435898324926,359.62712037245893,301.0417641907589
165,318.861385018956,359.62712037245893,306.0737443014553
166,316.99491370448834,346.2937444591618,306.0737443014553
167,316.5744816634466,346.2937444591618,306.0737443014553
168,316.19957866721217,346.2937444591618,304.5817917474135
169,314.31605826064464,334.68255646640677,301.0640503341119
170,314.8060719076421,334.68255646640677,301.0640503341119
171,313.613245074214,331.40703205656246,296.8546920562767
172,314.2338821576513,331.40703205656246,292.6324100106796
173,314.53859775533914,331.40703205656246,292.6324100106796
174,314.9027733210038,336.87742538158665,299.92968724968256
175,314.6459056733671,333.60269590068185,299.92968724968256
176,314.72299915338857,333.60269590068185,294.1557116264208
177,311.8103740888919,333.60269590068185,294.1557116264208
178,313.07935150066004,333.60269590068185,296.10081870436983
179,311.95125743390867,333.60269590068185,291.3067280538681
180,312.58372704732307,333.60269590068185,291.3067280538681
181,312.38396261463816,333.60269590068185,291.3067280538681
182,311.197742608184,333.60269590068185,291.3067280538681
183,310.56725840703797,333.60269590068185,295.7366338488586
184,311.032950867037,333.60269590068185,295.7366338488586
185,311.3014074771144,333.60269590068185,297.06944177921207
186,311.19144845013096,333.60269590068185,297.62112635825264
187,310.72744160603054,333.60269590068185,297.62112635825264
188,310.4055874584713,333.60269590068185,297.62112635825264
189,310.2228435927089,333.60269590068185,297.62112635825264
190,309.5844562930244,333.60269590068185,296.7480824378847
191,310.1325303069645,333.60269590068185,297.78560484985684
192,311.589195519643,334.07215194892365,297.78560484985684
193,311.6679614426098,334.07215194892365,297.78560484985684
194,310.6148616730507,334.07215194892365,301.3344389596058
195,311.33655906451304,334.07215194892365,297.72092069514383
196,309.67815190722536,333.60269590068185,297.72092069514383
197,308.99988147092847,333.60269590068185,295.27212792341203
198,308.03640257596766,329.8878564470844,295.27212792341203
199,308.20738303741814,329.8878564470844,295.27212792341203
200,308.1839280256026,319.1421971157755,295.27212792341203
=======
1,977.1755671437118,1082.6559611056134,823.5977091316485
2,959.6846445683476,1082.6559611056134,754.8763064051604
3,940.1290055032612,1082.6559611056134,701.4894554103457
4,924.9843577501154,1082.6559611056134,701.4894554103457
5,932.0377608337096,1084.1141744145154,700.5234039475229
6,914.2476522094339,1082.6559611056134,675.2543723807912
7,904.0430699409554,1052.8615933208375,655.8855703192813
8,892.6126222039295,1052.8615933208375,644.8760211536405
9,902.2034628785003,1052.8615933208375,644.8760211536405
10,895.1206474857848,1052.8615933208375,644.8760211536405
11,882.2449970267771,1052.8615933208375,699.2611859951664
12,872.2970726434427,1052.8615933208375,681.2432001271097
13,861.8312631280413,1052.8615933208375,676.5105253370294
14,856.6527274017362,1052.8615933208375,621.2999350987923
15,842.081751985249,1052.8615933208375,577.6164923028873
16,846.8671453069469,1050.4186420926585,512.1967387355622
17,811.8131219958744,1030.6336415034643,493.9186354003914
18,795.1948679981116,1002.6124766182742,493.9186354003914
19,768.8867325835621,1002.6124766182742,493.9186354003914
20,763.1510383141652,1002.6124766182742,514.5248110782983
21,748.0350559002644,958.3750792834543,559.893215723955
22,749.9745548349529,958.3750792834543,559.893215723955
23,739.8583607473967,958.3750792834543,572.1147142940132
24,745.7617664079879,958.3750792834543,559.7460535135388
25,731.7633493934954,958.3750792834543,544.866670635373
26,719.4357537225164,958.3750792834543,474.6233784488225
27,706.6541626337246,958.3750792834543,474.6233784488225
28,694.2168749284642,958.3750792834543,438.8019791989703
29,717.0614313970972,958.3750792834543,488.367072549741
30,719.6282740384595,958.3750792834543,488.367072549741
31,725.9891307593946,958.3750792834543,489.9375825235276
32,715.3951233120854,924.4792175635584,489.9375825235276
33,697.5732083464849,924.4792175635584,489.9375825235276
34,678.6650338135939,924.4792175635584,512.7439763454896
35,676.5878220609957,924.4792175635584,477.5040393485445
36,662.6637756958081,924.4792175635584,466.52603306146943
37,663.1122942028569,924.4792175635584,466.52603306146943
38,634.7652312396222,924.4792175635584,443.18244903467235
39,631.1094937847449,924.4792175635584,452.5544115246449
40,627.7151410601001,924.4792175635584,454.8142895760407
41,628.5271160834286,924.4792175635584,453.0823058555385
42,609.6593246610714,924.4792175635584,459.6880848232647
43,615.5460018451311,924.4792175635584,459.6880848232647
44,607.3860683221608,924.4792175635584,477.1184538513951
45,600.3500397863653,924.4792175635584,473.8033216331869
46,599.2984819943833,924.4792175635584,441.5980628546742
47,583.104224615108,924.4792175635584,431.07640081276276
48,590.112218020426,924.4792175635584,424.5285506784399
49,599.2185695809615,924.4792175635584,424.5285506784399
50,594.539677715354,924.4792175635584,424.5285506784399
51,584.626388641332,924.4792175635584,424.5285506784399
52,571.4166729622762,924.4792175635584,424.5285506784399
53,579.2362065858717,924.4792175635584,425.47657464903483
54,582.5194897290795,924.4792175635584,386.5383725517357
55,582.1143249734906,924.4792175635584,441.12226913593145
56,587.1427277494427,924.4792175635584,420.46298598682534
57,574.7271630411096,924.4792175635584,420.46298598682534
58,547.3925140950482,924.4792175635584,387.1817466480516
59,548.3370027543959,924.4792175635584,417.12506384076954
60,560.8881910908974,924.4792175635584,417.12506384076954
61,560.1175824125526,924.4792175635584,417.12506384076954
62,560.1276752396114,924.4792175635584,385.8153011554005
63,549.6696993054114,924.4792175635584,384.00470075943855
64,568.7865080863397,924.4792175635584,384.00470075943855
65,578.2026279774619,924.4792175635584,384.00470075943855
66,558.9977049723481,792.0256560143315,398.56602381599726
67,557.9890356774276,792.2057334467971,398.56602381599726
68,540.6561466560568,792.2057334467971,398.56602381599726
69,523.2928288430267,788.155585378714,371.70656951815715
70,512.7770642649937,788.155585378714,371.70656951815715
71,515.1165076136007,788.155585378714,362.44898714416365
72,516.6173262738963,788.155585378714,371.70656951815715
73,508.7274973263564,788.155585378714,344.895086314567
74,514.7178566817145,788.155585378714,408.83317176560206
75,510.2978858931983,788.155585378714,408.83317176560206
76,514.7586826705624,788.155585378714,406.6874622399943
77,528.311228304309,788.155585378714,398.36894941516005
78,531.1167517359709,788.155585378714,406.80733332721445
79,529.552877902041,788.155585378714,406.0314798817946
80,518.8278580817667,697.0234844457474,360.93759712991687
81,504.82698139485547,697.0234844457474,360.93759712991687
82,502.82712399495904,697.0234844457474,372.5419347740688
83,504.30549867141735,697.0234844457474,380.85981396927576
84,500.2295186049082,697.0234844457474,380.85981396927576
85,503.38719538445787,697.0234844457474,353.2075653504002
86,495.20162559790117,697.0234844457474,353.2075653504002
87,500.14862953340264,697.0234844457474,371.471657841413
88,492.79116365876644,697.0234844457474,371.471657841413
89,479.47687369479587,697.0234844457474,371.471657841413
90,473.3740665495332,697.0234844457474,363.0134976830544
91,461.09662218838776,615.6572571492638,342.1731532213571
92,462.98783139746,615.6572571492638,342.1731532213571
93,461.7029520586639,615.6572571492638,342.1731532213571
94,457.00584316431906,615.6572571492638,342.1731532213571
95,449.86502123744344,615.6572571492638,336.86199906527986
96,445.77001153407014,615.6572571492638,336.86199906527986
97,451.80365424388225,615.6572571492638,336.86199906527986
98,443.82393845588666,615.6572571492638,336.86199906527986
99,434.96741587126337,615.6572571492638,336.86199906527986
100,429.4080192371933,551.8218274965452,336.86199906527986
101,423.7522979706275,551.8218274965452,336.86199906527986
102,423.6693501898701,551.8218274965452,347.17085333408704
103,421.05922175668024,551.8218274965452,342.2730800410469
104,406.61538574717736,527.7646294073314,324.774379008598
105,400.1514846486235,527.7646294073314,324.774379008598
106,399.2161887486774,527.7646294073314,324.774379008598
107,396.56404578614473,503.7434728459814,323.0721185470409
108,393.88345921699437,503.7434728459814,329.76069582824624
109,382.33322245617006,439.97161254350544,309.64055595582334
110,379.5176819851168,437.31562749057946,309.64055595582334
111,375.7992696265972,437.31562749057946,309.64055595582334
112,373.58207537040164,437.31562749057946,309.64055595582334
113,370.8192576589265,444.9479482101289,298.25320012448907
114,370.35910048911546,444.9479482101289,298.25320012448907
115,363.31861766522286,437.31562749057946,298.25320012448907
116,356.17339093075583,435.357967029745,295.0085774096266
117,352.7305247982,417.25279663312034,296.1450554211005
118,359.1537504371704,417.25279663312034,296.1450554211005
119,357.3743505830293,417.25279663312034,301.371019255836
120,351.77801526328426,406.8380047556857,293.24790284059327
121,354.1940799516186,407.8163107429875,293.24790284059327
122,354.2410698887042,407.8163107429875,293.24790284059327
123,354.8675242621623,414.15058089969045,293.24790284059327
124,359.4662752628764,414.15058089969045,301.371019255836
125,358.55323178566323,414.15058089969045,306.19891388669794
126,353.9231632782292,411.97034929564006,306.19891388669794
127,350.91980368785335,411.97034929564006,306.19891388669794
128,349.47516850523067,411.97034929564006,304.4485093376213
129,347.0866033609471,407.8163107429875,306.19891388669794
130,345.4202542167453,407.8163107429875,314.4828763693481
131,343.40774467751044,407.8163107429875,306.9577235303018
132,342.250941833957,407.8163107429875,306.9577235303018
133,340.7951257780893,407.8163107429875,306.6583886143385
134,335.4823661000985,407.8163107429875,306.6583886143385
135,334.0494504969166,407.8163107429875,305.78235701344255
136,332.4509598994222,404.571688028125,305.78235701344255
137,332.6247576895198,404.571688028125,307.4767695476024
138,336.59822601103485,404.571688028125,307.4767695476024
139,334.4116438339231,396.2780463350994,307.4767695476024
140,333.30876394549125,367.34727371222226,310.27715599126725
141,330.71758183017204,367.34727371222226,307.69702537117394
142,332.15768873969324,367.34727371222226,310.4736552083828
143,333.8287816183578,367.34727371222226,307.1518694253507
144,331.4920953802411,357.8169224980859,306.3110576212149
145,331.64510032957077,357.8169224980859,306.3110576212149
146,330.69988621985584,357.8169224980859,306.3110576212149
147,330.15884920083704,357.8169224980859,304.4351437969466
148,331.3279754317257,357.8169224980859,306.3110576212149
149,327.92838841305553,357.8169224980859,304.7123860651072
150,326.9107219280645,355.44505502699946,296.899050173203
151,324.41721178405174,355.44505502699946,296.899050173203
152,323.6613105922627,355.44505502699946,296.899050173203
153,320.2899457834498,355.44505502699946,291.507955409027
154,322.5003572420242,355.44505502699946,291.507955409027
155,322.92494349942865,355.44505502699946,291.507955409027
156,323.31302665536657,355.44505502699946,291.507955409027
157,321.48422959313905,355.44505502699946,293.84069418884013
158,321.6135853828352,348.27482797607905,295.1221541989535
159,322.5721594119381,348.27482797607905,295.1221541989535
160,315.7318666420093,348.27482797607905,292.40208452261277
161,313.429363258083,348.27482797607905,289.06065658618786
162,311.52996023637434,349.8972170355072,289.06065658618786
163,309.17860983203406,349.8972170355072,283.366541034769
164,307.87777783753774,349.8972170355072,283.179614989807
165,307.92420076925015,349.8972170355072,278.27817323839207
166,309.15959931150695,349.8972170355072,278.27817323839207
167,310.6469945580673,349.8972170355072,278.27817323839207
168,310.111532569579,349.8972170355072,278.27817323839207
169,310.75511794954036,349.8972170355072,288.3728788193606
170,309.6583541248131,352.8989344393579,289.5255730666893
171,310.6243989257364,352.8989344393579,291.8093944822401
172,312.2504152284057,352.8989344393579,291.8093944822401
173,310.7136422118914,352.8989344393579,291.4521666593182
174,309.93259715413956,352.8989344393579,291.4521666593182
175,305.10188394991076,352.8989344393579,291.4521666593182
176,305.3459319322304,352.8989344393579,291.4521666593182
177,304.98522008571194,352.8989344393579,286.83805482900914
178,304.0872662732703,352.8989344393579,286.83805482900914
179,305.18071474727947,352.8989344393579,290.66209425760724
180,304.4024385536852,352.8989344393579,290.66209425760724
181,302.6738910699834,352.8989344393579,280.67106271349417
182,301.7661940723921,352.8989344393579,280.67106271349417
183,304.2655122381577,352.8989344393579,279.89880505873367
184,301.4116811969687,343.4088658324656,279.89880505873367
185,299.64352900142535,343.4088658324656,279.89880505873367
186,300.1464045076192,343.4088658324656,279.89880505873367
187,298.2217749938384,324.7192714353796,279.5877738023017
188,297.66401687330676,319.20669639487863,279.5877738023017
189,296.84422722367043,319.20669639487863,279.5877738023017
190,298.9863644519314,325.1642666375096,279.5877738023017
191,297.6904827201963,326.019448483414,279.5877738023017
192,295.9901622658556,326.019448483414,279.89880505873367
193,295.3367198548672,326.019448483414,275.1522857645445
194,295.96242712041135,324.96255057936656,273.3239210522944
195,293.7513014825034,324.96255057936656,275.1522857645445
196,294.9213890884879,316.22695791440555,275.1522857645445
197,294.595468724558,314.65368249249013,278.9456825776706
198,294.79193787823067,314.65368249249013,278.9456825776706
199,295.41217690932933,314.65368249249013,278.9456825776706
200,296.6484183247443,314.92589997858323,278.9456825776706
>>>>>>> 9de4bd3e2b12b55820e8b4a882c2aac09eaae2e8
