Generation,Average_Fitness,Best_Fit,Worst_Fit
1,99.0,100,96
2,99.04,100,96
3,98.62,100,96
4,98.8,100,96
5,98.82,100,96
6,98.78,100,97
7,98.78,100,97
8,99.06,100,97
9,98.94,100,97
10,98.78,100,97
11,98.66,100,97
12,98.58,100,97
13,98.48,100,97
14,98.5,100,97
15,98.5,100,97
16,98.68,100,97
17,98.98,100,97
18,99.16,100,97
19,98.86,100,97
20,99.1,100,97
21,99.22,100,97
22,98.98,100,97
23,99.28,100,97
24,99.46,100,97
25,99.64,100,97
26,99.34,100,97
27,99.28,100,97
28,99.58,100,97
29,99.58,100,97
30,99.34,100,97
31,99.58,100,97
32,99.76,100,97
33,99.58,100,97
34,99.52,100,97
35,99.82,100,97
36,99.94,100,97
37,99.76,100,97
38,99.94,100,97
39,99.82,100,97
40,99.82,100,97
41,99.94,100,97
42,99.88,100,97
43,99.7,100,97
44,99.52,100,97
45,99.7,100,97
46,99.88,100,97
47,99.94,100,97
48,99.76,100,97
49,99.94,100,97
50,99.88,100,97
51,99.94,100,97
52,99.82,100,97
53,99.82,100,97
54,100.0,100,100
55,100.0,100,100
56,100.0,100,100
57,100.0,100,100
58,100.0,100,100
59,100.0,100,100
60,100.0,100,100
61,100.0,100,100
62,100.0,100,100
63,100.0,100,100
64,100.0,100,100
65,100.0,100,100
66,100.0,100,100
67,100.0,100,100
68,100.0,100,100
69,100.0,100,100
70,100.0,100,100
71,100.0,100,100
72,100.0,100,100
73,100.0,100,100
74,100.0,100,100
75,100.0,100,100
76,100.0,100,100
77,100.0,100,100
78,100.0,100,100
79,100.0,100,100
80,100.0,100,100
81,100.0,100,100
82,100.0,100,100
83,100.0,100,100
84,100.0,100,100
85,100.0,100,100
86,100.0,100,100
87,100.0,100,100
88,100.0,100,100
89,100.0,100,100
90,100.0,100,100
91,100.0,100,100
92,100.0,100,100
93,100.0,100,100
94,100.0,100,100
95,100.0,100,100
96,100.0,100,100
97,100.0,100,100
98,100.0,100,100
99,100.0,100,100
100,100.0,100,100
101,100.0,100,100
102,100.0,100,100
103,100.0,100,100
104,100.0,100,100
105,100.0,100,100
106,100.0,100,100
107,100.0,100,100
108,100.0,100,100
109,100.0,100,100
110,100.0,100,100
111,100.0,100,100
112,100.0,100,100
113,100.0,100,100
114,100.0,100,100
115,100.0,100,100
116,100.0,100,100
117,100.0,100,100
118,100.0,100,100
119,100.0,100,100
120,100.0,100,100
121,100.0,100,100
122,100.0,100,100
123,100.0,100,100
124,100.0,100,100
125,100.0,100,100
126,100.0,100,100
127,100.0,100,100
128,100.0,100,100
129,100.0,100,100
130,100.0,100,100
131,100.0,100,100
132,100.0,100,100
133,100.0,100,100
134,100.0,100,100
135,100.0,100,100
136,100.0,100,100
137,100.0,100,100
138,100.0,100,100
139,100.0,100,100
140,100.0,100,100
141,100.0,100,100
142,100.0,100,100
143,100.0,100,100
144,100.0,100,100
145,100.0,100,100
146,100.0,100,100
147,100.0,100,100
148,100.0,100,100
149,100.0,100,100
150,100.0,100,100
151,100.0,100,100
152,100.0,100,100
153,100.0,100,100
154,100.0,100,100
155,100.0,100,100
156,100.0,100,100
157,100.0,100,100
158,100.0,100,100
159,100.0,100,100
160,100.0,100,100
161,100.0,100,100
162,100.0,100,100
163,100.0,100,100
164,100.0,100,100
165,100.0,100,100
166,100.0,100,100
167,100.0,100,100
168,100.0,100,100
169,100.0,100,100
170,100.0,100,100
171,100.0,100,100
172,100.0,100,100
173,100.0,100,100
174,100.0,100,100
175,100.0,100,100
176,100.0,100,100
177,100.0,100,100
178,100.0,100,100
179,100.0,100,100
180,100.0,100,100
181,100.0,100,100
182,100.0,100,100
183,100.0,100,100
184,100.0,100,100
185,100.0,100,100
186,100.0,100,100
187,100.0,100,100
188,100.0,100,100
189,100.0,100,100
190,100.0,100,100
191,100.0,100,100
192,100.0,100,100
193,100.0,100,100
194,100.0,100,100
195,100.0,100,100
196,100.0,100,100
197,100.0,100,100
198,100.0,100,100
199,100.0,100,100
200,100.0,100,100
