Generation,Average_Fitness,Worst_Fit,Best_Fit
1,505.42441337554294,556.8152394836184,432.5040313100433
2,499.1208482624404,553.4413633278001,393.34289498378024
3,497.3615544014599,553.4413633278001,343.09795006083374
4,492.91452152107945,553.4413633278001,343.09795006083374
5,489.8664608752933,553.4413633278001,343.09795006083374
6,478.4694708842245,553.4413633278001,343.09795006083374
7,475.39987280939,553.4413633278001,345.89889909706136
8,473.13647280364836,553.4413633278001,345.89889909706136
9,458.00963534265344,553.4413633278001,294.13250584222004
10,453.10235767856756,553.4413633278001,294.13250584222004
11,442.44496756176,553.4413633278001,282.92011354546906
12,432.8416431797378,553.4413633278001,282.92011354546906
13,435.22877510122396,553.4413633278001,282.92011354546906
14,419.3875421524312,553.4413633278001,282.92011354546906
15,411.98462482404074,553.4413633278001,282.92011354546906
16,414.11150867036935,553.4413633278001,282.92011354546906
17,402.9376211794549,553.4413633278001,280.8319944861111
18,392.84549701421537,553.4413633278001,272.18681119927624
19,380.57665271195305,553.4413633278001,223.80091568955473
20,374.2762926157221,553.4413633278001,223.80091568955473
21,373.37518186238094,553.4413633278001,223.80091568955473
22,363.95351790586005,553.4413633278001,223.80091568955473
23,360.20638662021776,553.4413633278001,223.80091568955473
24,360.7237908597071,553.4413633278001,223.80091568955473
25,357.33266896293173,553.4413633278001,223.80091568955473
26,352.3364867466207,553.4413633278001,210.27490529005473
27,355.47810721785294,553.4413633278001,210.27490529005473
28,342.3404293036105,553.4413633278001,210.27490529005473
29,346.3706448730926,553.4413633278001,223.80091568955473
30,344.2130572554738,553.4413633278001,223.80091568955473
31,335.5121593976605,553.4413633278001,223.2501619855006
32,333.67264574365714,553.4413633278001,223.2501619855006
33,332.39958858639346,447.7504568317709,223.80091568955473
34,333.1144929918697,447.7504568317709,223.80091568955473
35,335.38760228260963,447.7504568317709,223.80091568955473
36,328.84701640839086,431.6846879052167,223.80091568955473
37,323.7155375592507,423.04756492526843,223.80091568955473
38,320.1572519854133,423.04756492526843,223.80091568955473
39,313.7909348585643,423.04756492526843,223.80091568955473
40,303.49871565698163,423.04756492526843,199.51091799530954
41,293.3735954193668,423.04756492526843,199.51091799530954
42,282.7267346423177,415.5469836418322,195.84868227982471
43,281.15082171145184,415.5469836418322,183.16399254417325
44,278.9149371557938,403.53509735739914,184.4805362197078
45,273.5791907948602,403.53509735739914,190.465072245597
46,269.32587791101463,403.53509735739914,171.58106507811743
47,267.03259234844444,403.53509735739914,171.58106507811743
48,272.51610738078693,403.53509735739914,190.465072245597
49,267.25533059053674,403.53509735739914,160.60292555726585
50,265.4448387048692,403.53509735739914,160.60292555726585
51,263.67129462252836,403.53509735739914,156.414738228348
52,264.04710175144334,403.53509735739914,156.414738228348
53,252.66718678207155,403.53509735739914,142.9882371134411
54,249.78417000109482,403.53509735739914,148.364796510579
55,242.49762132214707,403.3457975306208,148.364796510579
56,241.78165678080703,403.3457975306208,148.364796510579
57,243.20391552764505,403.3457975306208,131.144155203576
58,241.38250172267632,403.3457975306208,131.144155203576
59,229.36307238047397,403.3457975306208,131.144155203576
60,212.10827210934386,336.77130477802984,131.144155203576
61,211.1598667280927,339.89802294227457,129.92235308986736
62,208.06831348456979,339.89802294227457,129.92235308986736
63,206.2717566948438,339.89802294227457,129.92235308986736
64,203.98024884118212,339.89802294227457,129.92235308986736
65,205.20875882187852,339.89802294227457,129.92235308986736
66,203.35029596720085,339.89802294227457,129.92235308986736
67,196.52771606026192,339.89802294227457,124.26412670213158
68,195.38134207421274,339.89802294227457,114.32412810318695
69,189.91365299659563,339.89802294227457,114.32412810318695
70,190.38659354035016,339.89802294227457,114.32412810318695
71,191.63582774707888,339.89802294227457,114.32412810318695
72,190.66354173866497,339.89802294227457,114.32412810318695
73,181.39238516639386,339.89802294227457,124.26412670213158
74,181.67338702271132,339.89802294227457,124.26412670213158
75,182.16840540674787,339.89802294227457,129.04444314852165
76,183.71883089219932,339.89802294227457,129.04444314852165
77,179.44483770780948,339.89802294227457,111.72146713838724
78,172.61317589039197,339.89802294227457,104.17617874901022
79,176.33652656274816,339.89802294227457,104.17617874901022
80,175.90079878597692,339.89802294227457,104.17617874901022
81,180.42268290599816,339.89802294227457,104.66086785138235
82,182.0866755734695,339.89802294227457,104.66086785138235
83,179.6726419108292,339.89802294227457,104.66086785138235
84,181.0957487536243,339.89802294227457,104.66086785138235
85,177.8632947480284,339.89802294227457,107.99095090128446
86,176.23198379988466,339.89802294227457,105.15959214246624
87,175.1596705622464,339.89802294227457,107.99095090128446
88,167.95422086636074,321.32447763513994,107.99095090128446
89,168.29792572077625,321.32447763513994,112.34236715838516
90,166.74465969458484,321.32447763513994,112.34236715838516
91,165.43841030325137,321.32447763513994,111.43160336597954
92,162.1491321488534,245.15160192174312,111.43160336597954
93,157.7101720628165,229.10570227265063,104.68506111417739
94,160.74703140323666,221.27035895038773,104.68506111417739
95,162.05015318792184,212.70485958053047,119.91767498507127
96,160.04355736513517,212.70485958053047,123.23285319150429
97,159.34333900485655,212.70485958053047,120.95533015433627
98,160.14583456862292,212.70485958053047,120.95533015433627
99,158.29102173018046,212.70485958053047,123.23285319150429
100,157.75276767642572,212.70485958053047,123.23285319150429
101,157.42940471507197,212.70485958053047,113.83542281639753
102,156.41731100034536,212.70485958053047,112.1773150016061
103,154.19262598879698,212.70485958053047,112.1773150016061
104,149.92943601211852,212.70485958053047,99.18067245366757
105,149.36151219774908,212.70485958053047,99.18067245366757
106,147.2425716957913,212.70485958053047,99.18067245366757
