Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.16,100,94
2,98.3,100,94
3,98.22,100,94
4,98.4,100,95
5,98.36,100,95
6,98.46,100,95
7,98.26,100,95
8,98.1,100,91
9,97.96,100,91
10,97.82,100,91
11,97.76,100,91
12,97.8,100,91
13,97.62,100,91
14,97.38,100,91
15,97.02,100,91
16,96.98,100,91
17,96.98,100,91
18,97.22,100,91
19,97.3,100,91
20,97.06,100,91
21,96.94,100,92
22,96.98,100,92
23,97.06,100,92
24,96.46,100,89
25,96.78,100,89
26,96.58,100,89
27,96.62,100,89
28,96.64,100,89
29,96.6,100,89
30,96.62,100,89
31,96.54,100,89
32,96.98,100,92
33,96.74,100,92
34,96.88,100,92
35,96.78,100,90
36,96.84,100,90
37,96.86,100,90
38,96.86,100,90
39,96.74,100,90
40,96.54,100,90
41,96.76,100,90
42,96.8,100,90
43,96.72,100,90
44,96.78,100,90
45,96.9,100,90
46,96.78,100,90
47,96.5,100,90
48,96.56,100,90
49,96.34,100,90
50,96.3,100,90
51,96.1,100,90
52,96.04,100,90
53,95.76,100,90
54,95.7,100,90
55,95.7,100,90
56,96.04,100,90
57,96.22,100,90
58,96.2,100,90
59,96.58,100,89
60,97.1,100,90
61,96.78,100,86
62,96.5,100,86
63,96.84,100,86
64,96.86,100,86
65,96.74,100,86
66,96.58,100,86
67,96.46,100,86
68,96.5,100,86
69,96.24,100,86
70,96.04,100,86
71,96.1,100,86
72,95.96,100,86
73,95.84,100,86
74,95.76,100,86
75,95.3,100,86
76,95.2,100,86
77,95.4,100,86
78,95.92,100,86
79,95.9,100,86
80,96.0,100,86
81,96.06,100,86
82,96.06,100,86
83,96.12,100,86
84,95.8,100,86
85,95.98,100,86
86,96.38,100,92
87,96.56,100,92
88,96.34,100,92
89,96.16,100,92
90,96.16,100,89
91,96.22,100,89
92,96.2,100,89
93,96.16,100,89
94,96.3,100,89
95,96.24,100,89
96,96.5,100,92
97,96.48,100,92
98,96.12,100,92
99,96.32,100,92
100,96.16,100,92
101,95.98,100,92
102,96.02,100,93
103,95.56,100,92
104,95.56,100,89
105,95.5,100,89
106,95.46,100,89
107,95.52,100,89
108,95.62,100,89
109,95.62,100,89
110,95.66,100,89
111,95.48,100,89
112,95.22,100,89
113,95.1,100,89
114,95.56,100,89
115,95.66,100,89
116,95.72,100,89
117,95.62,100,89
118,95.32,100,89
119,94.8,99,89
120,94.78,99,88
121,94.76,99,88
122,94.58,99,88
123,94.6,99,88
124,94.46,99,88
125,94.48,99,89
126,94.42,99,89
127,94.5,99,89
128,94.62,99,89
129,94.42,99,89
130,94.68,99,89
131,94.64,98,89
132,94.84,98,89
133,94.72,98,89
134,94.74,98,89
135,94.86,98,90
136,94.94,98,90
137,94.88,98,90
138,94.72,98,90
139,94.76,98,90
140,94.68,98,90
141,94.86,98,90
142,94.74,98,89
143,94.5,99,89
144,94.24,98,89
145,94.04,98,88
146,93.76,98,87
147,93.92,98,87
148,94.14,98,87
149,94.22,98,87
150,94.5,98,87
151,94.54,98,88
152,94.38,98,88
153,94.52,98,88
154,94.34,98,89
155,94.34,98,89
156,93.7,98,88
157,93.64,98,88
158,93.86,98,88
159,93.4,98,88
160,93.34,98,88
161,92.74,98,88
162,92.38,98,88
163,92.38,100,88
164,92.1,100,86
165,92.26,100,87
166,91.84,100,86
167,91.6,100,86
168,91.44,100,85
169,91.46,100,85
170,91.44,100,85
171,91.26,100,83
172,91.2,100,83
173,90.66,98,83
174,90.52,97,85
175,90.52,98,85
176,89.68,97,85
177,89.72,97,85
178,89.76,94,85
179,89.62,94,85
180,89.64,94,85
181,89.66,94,85
182,89.92,94,85
183,90.0,94,85
184,90.06,94,84
185,89.76,94,84
186,90.08,94,84
187,89.8,94,84
188,89.9,94,85
189,89.8,94,85
190,89.66,93,85
191,89.6,93,85
192,89.5,93,85
193,89.38,93,85
194,89.4,93,85
195,89.3,94,85
196,89.56,95,85
197,89.58,95,83
198,89.36,95,83
199,89.46,95,83
200,89.26,95,85
