Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.6,100,96
2,97.84,99,97
3,97.18,99,94
4,96.34,98,94
5,95.7,97,93
6,94.82,97,93
7,94.34,97,91
8,93.24,96,91
9,92.86,94,91
10,92.1,94,90
11,91.42,93,90
12,90.72,93,87
13,89.32,92,85
14,88.62,91,85
15,87.64,90,85
16,86.82,89,85
17,86.2,88,84
18,84.96,87,80
19,83.7,88,78
20,82.58,86,78
21,80.76,85,75
22,78.94,84,75
23,77.88,81,75
24,76.6,80,74
25,75.76,79,73
26,74.5,78,73
27,74.02,76,71
28,73.38,75,71
29,73.16,74,71
30,72.52,74,70
31,72.04,74,70
32,71.22,73,68
33,70.54,73,68
34,69.86,72,68
35,69.22,71,68
36,68.56,71,66
37,68.36,72,66
38,68.04,69,66
39,67.84,69,66
40,67.52,68,66
41,67.08,68,64
42,66.78,68,64
43,66.42,68,64
44,65.22,67,61
45,64.52,67,61
46,63.28,66,61
47,61.8,66,59
48,61.26,64,59
49,60.86,62,59
50,60.6,61,57
51,60.16,61,57
52,59.28,61,57
53,58.36,61,57
54,57.6,61,57
55,57.04,59,57
56,57.0,57,57
57,57.0,57,57
58,57.0,57,57
59,57.0,57,57
60,57.0,57,57
61,57.0,57,57
62,57.0,57,57
63,57.0,57,57
64,57.0,57,57
65,57.0,57,57
66,57.0,57,57
67,57.0,57,57
68,57.0,57,57
69,57.0,57,57
70,57.0,57,57
71,57.0,57,57
72,57.0,57,57
73,57.0,57,57
74,57.0,57,57
75,57.0,57,57
76,57.0,57,57
77,57.0,57,57
78,57.0,57,57
79,57.0,57,57
80,57.0,57,57
81,57.0,57,57
82,57.0,57,57
83,57.0,57,57
84,57.0,57,57
85,57.0,57,57
86,57.0,57,57
87,57.0,57,57
88,57.0,57,57
89,57.0,57,57
90,57.0,57,57
91,57.0,57,57
92,57.0,57,57
93,57.0,57,57
94,57.0,57,57
95,57.0,57,57
96,57.0,57,57
97,57.0,57,57
98,57.0,57,57
99,57.0,57,57
100,57.0,57,57
101,57.0,57,57
102,57.0,57,57
103,57.0,57,57
104,57.0,57,57
105,57.0,57,57
106,57.0,57,57
107,57.0,57,57
108,57.0,57,57
109,57.0,57,57
110,57.0,57,57
111,57.0,57,57
112,57.0,57,57
113,57.0,57,57
114,57.0,57,57
115,57.0,57,57
116,57.0,57,57
117,57.0,57,57
118,57.0,57,57
119,57.0,57,57
120,57.0,57,57
121,57.0,57,57
122,57.0,57,57
123,57.0,57,57
124,57.0,57,57
125,57.0,57,57
126,57.0,57,57
127,57.0,57,57
128,57.0,57,57
129,57.0,57,57
130,57.0,57,57
131,57.0,57,57
132,57.0,57,57
133,57.0,57,57
134,57.0,57,57
135,57.0,57,57
136,57.0,57,57
137,57.0,57,57
138,57.0,57,57
139,57.0,57,57
140,57.0,57,57
141,57.0,57,57
142,57.0,57,57
143,57.0,57,57
144,57.0,57,57
145,57.0,57,57
146,57.0,57,57
147,57.0,57,57
148,57.0,57,57
149,57.0,57,57
150,57.0,57,57
151,57.0,57,57
152,57.0,57,57
153,57.0,57,57
154,57.0,57,57
155,57.0,57,57
156,57.0,57,57
157,57.0,57,57
158,57.0,57,57
159,57.0,57,57
160,57.0,57,57
161,57.0,57,57
162,57.0,57,57
163,57.0,57,57
164,57.0,57,57
165,57.0,57,57
166,57.0,57,57
167,57.0,57,57
168,57.0,57,57
169,57.0,57,57
170,57.0,57,57
171,57.0,57,57
172,57.0,57,57
173,57.0,57,57
174,57.0,57,57
175,57.0,57,57
176,57.0,57,57
177,57.0,57,57
178,57.0,57,57
179,57.0,57,57
180,57.0,57,57
181,57.0,57,57
182,57.0,57,57
183,57.0,57,57
184,57.0,57,57
185,57.0,57,57
186,57.0,57,57
187,57.0,57,57
188,57.0,57,57
189,57.0,57,57
190,57.0,57,57
191,57.0,57,57
192,57.0,57,57
193,57.0,57,57
194,57.0,57,57
195,57.0,57,57
196,57.0,57,57
197,57.0,57,57
198,57.0,57,57
199,57.0,57,57
200,57.0,57,57
