Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.68,100,96
2,98.18,99,94
3,97.58,99,93
4,97.02,98,93
5,96.42,98,93
6,95.66,97,90
7,94.74,97,89
8,93.68,96,87
9,92.84,95,87
10,91.88,94,87
11,90.86,93,86
12,89.34,92,85
13,88.24,91,84
14,87.14,89,82
15,85.98,88,81
16,85.22,87,80
17,84.38,86,80
18,83.56,85,78
19,82.82,85,78
20,81.68,84,77
21,81.06,83,77
22,80.32,82,73
23,79.7,81,73
24,78.6,81,73
25,77.3,80,72
26,75.88,78,72
27,75.12,77,72
28,74.0,76,69
29,73.12,75,69
30,72.38,74,69
31,71.9,73,69
32,71.18,72,69
33,70.54,72,68
34,69.9,71,66
35,68.94,71,65
36,68.2,70,65
37,67.36,69,64
38,66.7,68,64
39,65.82,68,61
40,64.98,67,60
41,63.94,66,60
42,63.2,65,60
43,62.42,64,59
44,61.44,63,59
45,60.92,63,59
46,60.34,61,58
47,59.98,61,58
48,59.48,60,58
49,59.18,60,58
50,58.9,60,57
51,58.44,59,57
52,58.24,59,57
53,57.96,59,57
54,57.82,58,57
55,57.78,58,57
56,57.7,58,57
57,57.5,58,57
58,57.28,58,57
59,57.0,57,57
60,57.0,57,57
61,57.0,57,57
62,57.0,57,57
63,57.0,57,57
64,56.96,57,55
65,56.96,57,55
66,56.96,57,55
67,56.92,57,55
68,56.92,57,55
69,56.76,57,55
70,56.76,57,55
71,56.6,57,55
72,56.32,57,55
73,56.0,57,55
74,55.6,57,55
75,55.12,57,55
76,55.0,55,55
77,54.92,55,53
78,54.92,55,53
79,54.84,55,53
80,54.76,55,53
81,54.68,55,53
82,54.44,55,53
83,54.2,55,53
84,53.8,55,53
85,53.16,55,53
86,53.0,53,53
87,53.0,53,53
88,53.0,53,53
89,53.0,53,53
90,53.0,53,53
91,53.0,53,53
92,53.0,53,53
93,53.0,53,53
94,53.0,53,53
95,53.0,53,53
96,53.0,53,53
97,53.0,53,53
98,53.0,53,53
99,53.0,53,53
100,53.0,53,53
101,53.0,53,53
102,53.0,53,53
103,53.0,53,53
104,53.0,53,53
105,53.0,53,53
106,53.0,53,53
107,53.0,53,53
108,53.0,53,53
109,53.0,53,53
110,53.0,53,53
111,53.0,53,53
112,53.0,53,53
113,53.0,53,53
114,53.0,53,53
115,53.0,53,53
116,53.0,53,53
117,53.0,53,53
118,53.0,53,53
119,53.0,53,53
120,53.0,53,53
121,53.0,53,53
122,53.0,53,53
123,53.0,53,53
124,53.0,53,53
125,53.0,53,53
126,53.0,53,53
127,53.0,53,53
128,53.0,53,53
129,53.0,53,53
130,53.0,53,53
131,53.0,53,53
132,53.0,53,53
133,53.0,53,53
134,53.0,53,53
135,53.0,53,53
136,53.0,53,53
137,53.0,53,53
138,53.0,53,53
139,53.0,53,53
140,53.0,53,53
141,53.0,53,53
142,53.0,53,53
143,53.0,53,53
144,53.0,53,53
145,53.0,53,53
146,53.0,53,53
147,53.0,53,53
148,53.0,53,53
149,53.0,53,53
150,53.0,53,53
151,53.0,53,53
152,53.0,53,53
153,53.0,53,53
154,53.0,53,53
155,53.0,53,53
156,53.0,53,53
157,53.0,53,53
158,53.0,53,53
159,53.0,53,53
160,53.0,53,53
161,53.0,53,53
162,53.0,53,53
163,53.0,53,53
164,53.0,53,53
165,53.0,53,53
166,53.0,53,53
167,53.0,53,53
168,53.0,53,53
169,53.0,53,53
170,53.0,53,53
171,53.0,53,53
172,53.0,53,53
173,53.0,53,53
174,53.0,53,53
175,53.0,53,53
176,53.0,53,53
177,53.0,53,53
178,53.0,53,53
179,53.0,53,53
180,53.0,53,53
181,53.0,53,53
182,53.0,53,53
183,53.0,53,53
184,53.0,53,53
185,53.0,53,53
186,53.0,53,53
187,53.0,53,53
188,53.0,53,53
189,53.0,53,53
190,53.0,53,53
191,53.0,53,53
192,53.0,53,53
193,53.0,53,53
194,53.0,53,53
195,53.0,53,53
196,53.0,53,53
197,53.0,53,53
198,53.0,53,53
199,53.0,53,53
200,53.0,53,53
