Generation,Average_Fitness,Worst_Fit,Best_Fit
<<<<<<< HEAD
1,946.5726079112632,1016.9979429789701,749.3959498096535
2,878.8636098551277,984.5341201751095,631.255691981944
3,824.7023787783347,943.9450948930635,631.255691981944
4,755.2097403597032,862.1275499971601,604.870301040106
5,695.5947097206528,779.9530710308751,533.1297877212583
6,655.8230012092743,749.3884295144028,533.1297877212583
7,618.2821751262521,690.6544482761688,490.74399013898216
8,579.4410713090062,637.0400597954648,427.9579174459385
9,534.9784309521922,607.8900051635693,425.3084190169718
10,498.4256195428867,561.8377420902364,402.61412988500285
11,462.29450848758876,531.0890668886686,362.2768388913895
12,432.6717575526707,484.24330220058783,362.2768388913895
13,413.4559450208391,454.1693078867814,351.6177058517125
14,395.1358954464431,427.9579174459385,342.1224720218969
15,377.39864886136525,404.6867464350673,321.8319004808804
16,365.87410445162527,390.3425313773047,321.8319004808804
17,355.8194838842221,375.91543400671463,319.61547580252306
18,349.58530366424725,365.4002420608231,319.61547580252306
19,341.0567426018991,359.1603785633032,319.61547580252306
20,334.4295293672548,346.0982907250163,305.2770823629696
21,329.90125123515236,340.08652470471725,305.2770823629696
22,323.6257301828962,336.4595191593199,294.06931916066355
23,317.9939994608577,329.8022796233941,294.06931916066355
24,313.22181487685447,322.42383422132485,294.06931916066355
25,309.70054127515954,319.20958063326157,294.06931916066355
26,304.5211083654891,313.40702627947275,294.06931916066355
27,300.9928655400611,307.9610509856572,288.28506559820784
28,298.814977214587,304.6848777405912,285.1576832107823
29,296.4035688521931,301.5825710141769,285.1576832107823
30,294.3992284615102,298.46956437700993,285.1576832107823
31,293.3691079945323,297.99991686161457,282.6303387213947
32,291.3688326134764,295.71809606712566,282.6303387213947
33,289.2594820077152,292.9751691172174,282.2681911042977
34,287.60103617889615,290.8598752558547,281.59747853885824
35,286.34236397696617,289.4310357365533,281.59747853885824
36,284.06981206325247,288.20327505302976,273.6567164875646
37,282.6967110235189,287.20163157209385,273.6567164875646
38,280.34342654117637,285.1576832107823,273.6567164875646
39,279.0775115775104,282.2711158006661,272.5902385641265
40,277.15453684712986,281.5799102447973,271.151193843876
41,276.0542560039747,278.4571941888678,271.151193843876
42,275.0587195467133,277.683639471016,268.9934255987239
43,274.3209886707246,276.5372779346438,268.9934255987239
44,273.12121137049735,276.3155893168287,266.61351271186805
45,272.0560070444781,273.6567164875646,266.61351271186805
46,271.39891484074843,273.20636525811545,266.61351271186805
47,270.757126387325,272.5902385641265,266.61351271186805
48,270.3663049606355,272.3275962992952,266.61351271186805
49,269.713889768499,272.17266888263964,266.61351271186805
50,268.7910455637175,271.33826703034833,266.61351271186805
51,267.8096073660453,269.1452741876463,265.78999479850927
52,267.57763007409767,268.4578209017398,265.78999479850927
53,267.2681093950658,267.854039079178,265.78999479850927
54,267.18770497839773,267.78976086282324,265.78999479850927
55,266.95701764318875,267.43634586297617,265.78999479850927
56,266.74163195623385,267.37219118133646,265.78999479850927
57,266.54981295762803,266.93074925656225,265.37242511702243
58,266.4313906834339,266.7682858240596,265.37242511702243
59,266.31535761124405,266.61351271186805,265.37242511702243
60,266.2478631180574,266.50292979797905,265.37242511702243
61,266.2169809119607,266.38602283757683,265.37242511702243
62,266.07674953321515,266.35071614257276,264.83682042003835
63,265.99743646308417,266.35071614257276,264.83682042003835
64,265.73560177171004,266.35071614257276,264.16876038112184
65,265.3479721387555,266.35071614257276,264.16876038112184
66,265.01321750121843,265.78999479850927,264.16876038112184
67,264.7925689048364,265.37242511702243,264.16876038112184
68,264.4693867016376,265.37242511702243,260.0462975801972
69,264.08665463399234,264.83682042003835,260.0462975801972
70,263.8568233307838,264.285667341524,260.0462975801972
71,263.6849104011227,264.16876038112184,260.0462975801972
72,263.35511337704867,264.16876038112184,260.0462975801972
73,262.8821089531611,264.16876038112184,260.0462975801972
74,262.5523119290872,264.16876038112184,260.0462975801972
75,261.9144089931627,264.16876038112184,260.0462975801972
76,260.9250179209407,264.16876038112184,260.0462975801972
77,260.10052536075557,260.5885753857815,260.0462975801972
78,260.046297580197,260.0462975801972,260.0462975801972
79,260.046297580197,260.0462975801972,260.0462975801972
80,260.046297580197,260.0462975801972,260.0462975801972
81,260.046297580197,260.0462975801972,260.0462975801972
82,260.046297580197,260.0462975801972,260.0462975801972
83,260.046297580197,260.0462975801972,260.0462975801972
84,260.046297580197,260.0462975801972,260.0462975801972
85,260.046297580197,260.0462975801972,260.0462975801972
86,260.046297580197,260.0462975801972,260.0462975801972
87,260.046297580197,260.0462975801972,260.0462975801972
88,260.046297580197,260.0462975801972,260.0462975801972
89,260.046297580197,260.0462975801972,260.0462975801972
90,260.046297580197,260.0462975801972,260.0462975801972
91,260.046297580197,260.0462975801972,260.0462975801972
92,260.046297580197,260.0462975801972,260.0462975801972
93,260.046297580197,260.0462975801972,260.0462975801972
94,260.046297580197,260.0462975801972,260.0462975801972
95,260.046297580197,260.0462975801972,260.0462975801972
96,260.046297580197,260.0462975801972,260.0462975801972
97,260.046297580197,260.0462975801972,260.0462975801972
98,260.046297580197,260.0462975801972,260.0462975801972
99,260.046297580197,260.0462975801972,260.0462975801972
100,260.046297580197,260.0462975801972,260.0462975801972
101,260.046297580197,260.0462975801972,260.0462975801972
102,260.046297580197,260.0462975801972,260.0462975801972
103,260.046297580197,260.0462975801972,260.0462975801972
104,260.046297580197,260.0462975801972,260.0462975801972
105,260.046297580197,260.0462975801972,260.0462975801972
106,260.046297580197,260.0462975801972,260.0462975801972
107,260.046297580197,260.0462975801972,260.0462975801972
108,260.046297580197,260.0462975801972,260.0462975801972
109,260.046297580197,260.0462975801972,260.0462975801972
110,260.046297580197,260.0462975801972,260.0462975801972
111,260.046297580197,260.0462975801972,260.0462975801972
112,260.046297580197,260.0462975801972,260.0462975801972
113,260.046297580197,260.0462975801972,260.0462975801972
114,260.046297580197,260.0462975801972,260.0462975801972
115,260.046297580197,260.0462975801972,260.0462975801972
116,260.046297580197,260.0462975801972,260.0462975801972
117,260.046297580197,260.0462975801972,260.0462975801972
118,260.046297580197,260.0462975801972,260.0462975801972
119,260.046297580197,260.0462975801972,260.0462975801972
120,260.046297580197,260.0462975801972,260.0462975801972
121,260.046297580197,260.0462975801972,260.0462975801972
