Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.66,100,95
2,98.56,100,96
3,98.54,100,96
4,98.26,100,95
5,98.3,100,95
6,98.02,100,95
7,97.92,100,95
8,97.7,100,94
9,97.44,100,94
10,97.48,100,94
11,97.46,100,94
12,97.44,100,91
13,97.42,100,94
14,97.38,100,94
15,97.56,100,94
16,97.5,100,94
17,97.62,100,95
18,97.36,100,91
19,97.24,100,91
20,97.14,100,91
21,96.94,100,91
22,96.58,100,88
23,96.66,100,88
24,96.84,100,88
25,97.18,100,88
26,97.18,100,91
27,97.24,100,91
28,97.06,100,91
29,96.98,100,91
30,97.14,100,91
31,97.06,100,91
32,97.3,100,91
33,97.18,100,91
34,97.24,100,91
35,97.46,100,93
36,97.1,100,93
37,96.88,100,91
38,96.8,100,91
39,96.46,100,89
40,96.42,100,93
41,96.34,100,91
42,96.48,100,93
43,96.52,100,93
44,96.68,100,93
45,96.82,100,93
46,96.58,100,93
47,96.56,100,92
48,96.5,100,92
49,96.34,100,92
50,96.12,100,92
51,96.1,100,92
52,96.36,100,92
53,96.6,100,92
54,96.52,100,92
55,96.52,100,92
56,96.16,100,92
57,96.24,100,92
58,96.26,100,92
59,96.52,100,92
60,96.58,100,92
61,96.52,100,92
62,96.74,100,93
63,96.62,100,93
64,96.12,100,92
65,96.14,100,92
66,96.06,100,92
67,95.92,100,90
68,95.86,100,90
69,96.0,100,92
70,95.98,100,92
71,96.12,100,92
72,96.3,100,92
73,96.14,100,92
74,96.54,100,92
75,96.34,100,91
76,96.12,100,91
77,95.6,100,91
78,95.2,100,86
79,95.12,100,86
80,94.84,100,86
81,94.52,100,86
82,94.58,100,86
83,94.18,99,86
84,93.86,99,86
85,93.72,99,89
86,93.8,99,89
87,93.76,99,89
88,94.02,99,88
89,94.36,100,89
90,94.24,100,89
91,94.38,100,89
92,93.92,99,89
93,93.96,99,89
94,94.14,99,89
95,94.06,99,87
96,94.14,99,87
97,93.74,99,87
98,93.36,99,87
99,93.38,99,87
100,93.16,99,87
101,93.16,99,87
102,92.98,99,87
103,93.08,99,88
104,92.92,99,88
105,92.84,98,88
106,92.86,98,88
107,92.36,98,88
108,92.02,98,88
109,91.8,98,86
110,91.68,98,86
111,91.34,98,86
112,91.48,98,86
113,91.7,98,88
114,91.54,98,85
115,91.84,98,85
116,91.38,98,85
117,91.24,98,85
118,91.12,98,85
119,91.0,98,85
120,91.1,98,85
121,91.04,98,84
122,90.82,97,85
123,90.76,97,85
124,90.76,97,84
125,90.56,97,84
126,90.8,97,84
127,91.16,97,85
128,90.62,97,85
129,90.3,97,85
130,90.12,97,85
131,90.12,97,85
132,89.98,97,85
133,90.14,97,85
134,90.24,97,85
135,90.04,97,83
136,89.86,97,83
137,89.44,97,83
138,89.78,97,84
139,89.88,97,84
140,89.94,97,84
141,89.94,97,84
142,89.84,97,86
143,89.62,97,82
144,89.6,97,82
145,89.56,97,82
146,89.5,97,82
147,89.68,97,83
148,89.26,97,83
149,89.5,97,84
150,89.38,97,84
151,89.32,97,84
152,89.4,97,84
153,88.92,97,83
154,88.68,97,83
155,88.7,97,84
156,88.56,97,84
157,88.6,97,84
158,88.22,97,80
159,87.82,93,80
160,87.96,93,80
161,87.78,93,80
162,87.76,92,80
163,87.52,92,80
164,87.58,92,80
165,87.46,91,80
166,87.12,90,80
167,87.1,90,80
168,87.22,90,84
169,87.24,90,84
170,87.04,90,81
171,87.08,90,81
172,87.06,90,81
173,87.02,90,81
174,86.96,90,81
175,86.84,90,80
176,86.84,90,81
177,86.52,90,79
178,86.36,90,79
179,86.1,90,79
180,86.06,90,81
181,86.06,90,81
182,86.08,90,81
183,85.98,90,81
184,85.92,90,81
185,85.6,90,81
186,85.6,89,81
187,85.3,89,81
188,85.24,89,81
189,85.16,89,81
190,85.1,89,81
191,84.98,89,81
192,84.76,89,79
193,84.88,89,79
194,85.1,89,79
195,84.96,89,79
196,84.82,89,79
197,84.8,89,79
198,84.54,89,79
199,84.5,89,79
200,84.86,89,79
