Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.34,100,95
2,97.36,99,92
3,95.96,98,91
4,94.58,97,90
5,93.22,95,90
6,92.4,94,90
7,91.48,93,89
8,90.7,92,87
9,89.82,91,84
10,89.3,91,84
11,88.64,90,84
12,87.64,90,84
13,86.74,89,84
14,85.9,88,83
15,85.1,87,81
16,84.12,86,81
17,83.08,85,78
18,82.02,84,77
19,80.68,83,76
20,79.46,82,75
21,78.3,80,75
22,77.34,79,74
23,76.38,78,71
24,75.16,77,69
25,73.96,76,69
26,73.24,75,69
27,72.18,74,68
28,70.72,73,67
29,69.86,71,67
30,69.4,71,66
31,69.04,70,66
32,68.32,70,65
33,67.38,69,63
34,66.74,68,63
35,65.9,68,63
36,65.0,66,63
37,64.66,66,63
38,64.36,65,63
39,63.86,65,62
40,63.58,64,61
41,63.4,64,61
42,62.92,64,61
43,62.58,63,61
44,62.28,63,61
45,61.96,63,61
46,61.42,62,60
47,60.98,62,58
48,60.46,61,58
49,60.1,61,58
50,59.84,60,58
51,59.68,60,58
52,59.32,60,58
53,58.92,60,58
54,58.56,60,58
55,58.0,58,58
56,58.0,58,58
57,58.0,58,58
58,58.0,58,58
59,58.0,58,58
60,58.0,58,58
61,58.0,58,58
62,58.0,58,58
63,58.0,58,58
64,58.0,58,58
65,58.0,58,58
66,58.0,58,58
67,58.0,58,58
68,58.0,58,58
69,58.0,58,58
70,58.0,58,58
71,58.0,58,58
72,58.0,58,58
73,58.0,58,58
74,58.0,58,58
75,58.0,58,58
76,58.0,58,58
77,58.0,58,58
78,58.0,58,58
79,58.0,58,58
80,58.0,58,58
81,58.0,58,58
82,58.0,58,58
83,58.0,58,58
84,58.0,58,58
85,58.0,58,58
86,58.0,58,58
87,58.0,58,58
88,58.0,58,58
89,58.0,58,58
90,58.0,58,58
91,58.0,58,58
92,58.0,58,58
93,58.0,58,58
94,58.0,58,58
95,58.0,58,58
96,58.0,58,58
97,58.0,58,58
98,58.0,58,58
99,58.0,58,58
100,58.0,58,58
101,58.0,58,58
102,58.0,58,58
103,58.0,58,58
104,58.0,58,58
105,58.0,58,58
106,58.0,58,58
107,58.0,58,58
108,58.0,58,58
109,58.0,58,58
110,58.0,58,58
111,58.0,58,58
112,58.0,58,58
113,58.0,58,58
114,58.0,58,58
115,58.0,58,58
116,58.0,58,58
117,58.0,58,58
118,58.0,58,58
119,58.0,58,58
120,58.0,58,58
121,58.0,58,58
122,58.0,58,58
123,58.0,58,58
124,58.0,58,58
125,58.0,58,58
126,58.0,58,58
127,58.0,58,58
128,58.0,58,58
129,58.0,58,58
130,58.0,58,58
131,58.0,58,58
132,58.0,58,58
133,58.0,58,58
134,58.0,58,58
135,58.0,58,58
136,58.0,58,58
137,58.0,58,58
138,58.0,58,58
139,58.0,58,58
140,58.0,58,58
141,58.0,58,58
142,58.0,58,58
143,58.0,58,58
144,58.0,58,58
145,58.0,58,58
146,58.0,58,58
147,58.0,58,58
148,58.0,58,58
149,58.0,58,58
150,58.0,58,58
151,58.0,58,58
152,58.0,58,58
153,58.0,58,58
154,58.0,58,58
155,58.0,58,58
156,58.0,58,58
157,58.0,58,58
158,58.0,58,58
159,58.0,58,58
160,58.0,58,58
161,58.0,58,58
162,58.0,58,58
163,58.0,58,58
164,58.0,58,58
165,58.0,58,58
166,58.0,58,58
167,58.0,58,58
168,58.0,58,58
169,58.0,58,58
170,58.0,58,58
171,58.0,58,58
172,58.0,58,58
173,58.0,58,58
174,58.0,58,58
175,58.0,58,58
176,58.0,58,58
177,58.0,58,58
178,58.0,58,58
179,58.0,58,58
180,58.0,58,58
181,58.0,58,58
182,58.0,58,58
183,58.0,58,58
184,58.0,58,58
185,58.0,58,58
186,58.0,58,58
187,58.0,58,58
188,58.0,58,58
189,58.0,58,58
190,58.0,58,58
191,58.0,58,58
192,58.0,58,58
193,58.0,58,58
194,58.0,58,58
195,58.0,58,58
196,58.0,58,58
197,58.0,58,58
198,58.0,58,58
199,58.0,58,58
200,58.0,58,58
