Generation,Average_Fitness,Worst_Fit,Best_Fit
1,98.92,100,96
2,98.9,100,96
3,98.76,100,96
4,98.7,100,95
5,98.08,100,93
6,97.96,100,93
7,97.72,100,92
8,97.72,100,92
9,97.42,100,92
10,97.28,100,92
11,97.02,100,91
12,96.68,100,91
13,96.38,100,91
14,96.02,100,91
15,96.0,100,91
16,95.58,100,91
17,95.26,100,88
18,95.04,100,88
19,94.46,100,87
20,94.4,100,88
21,93.88,100,86
22,93.46,100,86
23,93.1,99,85
24,92.92,99,85
25,92.82,99,85
26,92.7,99,85
27,92.5,99,82
28,92.4,97,82
29,91.78,97,82
30,90.92,97,82
31,90.68,97,82
32,90.34,97,82
33,89.64,97,82
34,89.1,97,82
35,88.28,97,81
36,87.66,97,80
37,87.08,97,78
38,87.06,97,78
39,86.48,97,78
40,85.46,96,77
41,84.92,96,77
42,84.34,96,77
43,83.9,96,77
44,83.02,93,77
45,82.62,93,77
46,82.12,93,77
47,82.08,93,77
48,81.9,93,77
49,81.72,93,77
50,81.6,93,77
51,81.22,93,77
52,80.74,93,75
53,80.28,93,75
54,80.3,93,74
55,79.84,93,74
56,79.88,93,74
57,79.58,93,72
58,79.1,87,72
59,78.28,87,70
60,78.4,87,71
61,78.28,86,71
62,77.9,86,71
63,77.98,86,71
64,77.82,86,71
65,76.7,86,71
66,76.32,86,70
67,75.94,86,71
68,75.78,86,71
69,75.4,86,71
70,75.36,86,69
71,74.42,86,67
72,74.08,86,68
73,73.48,86,66
74,73.64,86,70
75,73.2,80,70
76,73.12,80,70
77,73.06,80,70
78,72.86,80,70
79,72.14,79,66
80,71.9,79,68
81,71.86,79,68
82,71.66,79,67
83,71.6,79,67
84,70.96,77,67
85,70.78,77,66
86,70.52,75,66
87,70.12,75,66
88,69.82,75,66
89,69.56,75,66
90,69.22,75,63
91,69.22,75,63
92,68.7,75,63
93,68.54,75,63
94,68.42,75,63
95,68.3,75,63
96,67.9,75,63
97,67.7,75,63
98,67.5,75,63
99,67.32,75,63
100,66.88,75,61
101,66.52,75,61
102,66.68,75,61
103,66.74,75,61
104,66.66,75,61
105,66.52,75,61
106,66.08,75,61
107,65.8,75,61
108,65.82,75,61
109,65.56,75,61
110,65.36,75,61
111,64.74,69,61
112,64.1,68,61
113,63.84,68,61
114,63.76,68,61
115,63.62,68,59
116,63.46,68,59
117,63.4,68,59
118,63.24,68,59
119,63.16,68,59
120,62.96,68,59
121,62.94,68,59
122,62.68,68,59
123,62.62,68,59
124,62.48,65,60
125,62.44,65,60
126,62.34,65,60
127,62.28,65,60
128,62.24,65,60
129,62.12,65,60
130,61.78,64,59
131,61.66,64,59
132,61.42,64,59
133,61.26,64,59
134,61.18,64,59
135,61.08,64,59
136,61.02,64,59
137,60.86,64,59
138,60.7,64,59
139,60.66,64,59
140,60.58,64,59
141,60.6,64,59
142,60.42,64,59
143,60.4,64,59
144,60.3,64,59
145,60.22,64,59
146,59.98,64,59
147,59.88,64,59
148,59.82,64,59
149,59.66,64,59
150,59.64,64,59
151,59.58,64,59
152,59.54,64,59
153,59.48,64,59
154,59.46,64,59
155,59.28,63,59
156,59.26,63,59
157,59.26,63,59
158,59.2,63,59
159,59.12,61,59
160,59.12,61,59
161,59.12,61,59
162,59.12,61,59
163,59.1,61,59
164,59.1,61,59
165,59.1,61,59
166,59.1,61,59
167,59.1,61,59
168,59.08,61,59
169,59.08,61,59
170,59.08,61,59
171,59.04,60,59
172,59.02,60,59
173,59.02,60,59
174,59.02,60,59
175,59.02,60,59
176,59.02,60,59
177,59.02,60,59
178,59.02,60,59
179,59.02,60,59
180,59.0,59,59
181,59.0,59,59
182,59.0,59,59
183,59.0,59,59
184,59.0,59,59
185,59.0,59,59
186,59.0,59,59
187,59.0,59,59
188,59.0,59,59
189,59.0,59,59
190,59.0,59,59
191,59.0,59,59
192,59.0,59,59
193,59.0,59,59
194,59.0,59,59
195,59.0,59,59
196,59.0,59,59
197,59.0,59,59
198,59.0,59,59
199,59.0,59,59
200,59.0,59,59
