Generation,Average_Fitness,Worst_Fit,Best_Fit
1,97.86,100,93
2,96.18,99,93
3,94.84,99,92
4,93.46,96,89
5,92.08,95,89
6,90.24,94,89
7,89.14,92,87
8,88.28,90,85
9,86.88,89,84
10,85.0,88,81
11,83.54,87,81
12,83.06,85,81
13,81.98,84,79
14,81.58,83,79
15,80.12,82,74
16,78.12,81,74
17,75.78,80,72
18,74.06,78,71
19,72.8,77,71
20,71.98,74,71
21,71.14,73,70
22,70.54,71,69
23,70.0,71,69
24,68.98,70,67
25,68.12,70,66
26,67.58,69,66
27,66.88,68,66
28,66.54,68,64
29,66.04,67,65
30,65.34,67,64
31,64.96,66,63
32,64.84,66,63
33,64.6,65,63
34,64.0,65,63
35,63.44,65,62
36,62.86,64,62
37,62.54,63,61
38,61.98,63,61
39,61.56,63,60
40,61.16,62,59
41,60.7,62,59
42,60.24,61,59
43,59.52,61,58
44,59.0,60,58
45,58.94,59,58
46,58.82,59,58
47,58.66,59,58
48,58.18,59,58
49,58.02,59,58
50,58.0,58,58
51,58.0,58,58
52,58.0,58,58
53,58.0,58,58
54,58.0,58,58
55,58.0,58,58
56,58.0,58,58
57,58.0,58,58
58,58.0,58,58
59,58.0,58,58
60,58.0,58,58
61,58.0,58,58
62,58.0,58,58
63,58.0,58,58
64,58.0,58,58
65,58.0,58,58
66,58.0,58,58
67,58.0,58,58
68,58.0,58,58
69,58.0,58,58
70,58.0,58,58
71,58.0,58,58
72,58.0,58,58
73,58.0,58,58
74,58.0,58,58
75,58.0,58,58
76,58.0,58,58
77,58.0,58,58
78,58.0,58,58
79,58.0,58,58
80,58.0,58,58
81,58.0,58,58
82,58.0,58,58
83,58.0,58,58
84,58.0,58,58
85,58.0,58,58
86,58.0,58,58
87,58.0,58,58
88,58.0,58,58
89,58.0,58,58
90,58.0,58,58
91,58.0,58,58
92,58.0,58,58
93,58.0,58,58
94,58.0,58,58
95,58.0,58,58
96,58.0,58,58
97,58.0,58,58
98,58.0,58,58
99,58.0,58,58
100,58.0,58,58
101,58.0,58,58
102,58.0,58,58
103,58.0,58,58
104,58.0,58,58
105,58.0,58,58
106,58.0,58,58
107,58.0,58,58
108,58.0,58,58
109,58.0,58,58
110,58.0,58,58
111,58.0,58,58
112,58.0,58,58
113,58.0,58,58
114,58.0,58,58
115,58.0,58,58
116,58.0,58,58
117,58.0,58,58
118,58.0,58,58
119,58.0,58,58
120,58.0,58,58
121,58.0,58,58
122,58.0,58,58
123,58.0,58,58
124,58.0,58,58
125,58.0,58,58
126,58.0,58,58
127,58.0,58,58
128,58.0,58,58
129,58.0,58,58
130,58.0,58,58
131,58.0,58,58
132,58.0,58,58
133,58.0,58,58
134,58.0,58,58
135,58.0,58,58
136,58.0,58,58
137,58.0,58,58
138,58.0,58,58
139,58.0,58,58
140,58.0,58,58
141,58.0,58,58
142,58.0,58,58
143,58.0,58,58
144,58.0,58,58
145,58.0,58,58
146,58.0,58,58
147,58.0,58,58
148,58.0,58,58
149,58.0,58,58
150,58.0,58,58
151,58.0,58,58
152,58.0,58,58
153,58.0,58,58
154,58.0,58,58
155,58.0,58,58
156,58.0,58,58
157,58.0,58,58
158,58.0,58,58
159,58.0,58,58
160,58.0,58,58
161,58.0,58,58
162,58.0,58,58
163,58.0,58,58
164,58.0,58,58
165,58.0,58,58
166,58.0,58,58
167,58.0,58,58
168,58.0,58,58
169,58.0,58,58
170,58.0,58,58
171,58.0,58,58
172,58.0,58,58
173,58.0,58,58
174,58.0,58,58
175,58.0,58,58
176,58.0,58,58
177,58.0,58,58
178,58.0,58,58
179,58.0,58,58
180,58.0,58,58
181,58.0,58,58
182,58.0,58,58
183,58.0,58,58
184,58.0,58,58
185,58.0,58,58
186,58.0,58,58
187,58.0,58,58
188,58.0,58,58
189,58.0,58,58
190,58.0,58,58
191,58.0,58,58
192,58.0,58,58
193,58.0,58,58
194,58.0,58,58
195,58.0,58,58
196,58.0,58,58
197,58.0,58,58
198,58.0,58,58
199,58.0,58,58
200,58.0,58,58
