Generation,Average_Fitness,Best_Fit,Worst_Fit
1,97.8,100,92
2,95.46,100,86
3,92.8,100,82
4,89.1,100,78
5,86.22,100,76
6,82.78,100,74
7,80.18,100,70
8,77.54,100,67
9,76.12,100,63
10,73.1,100,60
11,71.72,100,60
12,68.72,100,60
13,67.5,100,60
14,66.42,100,60
15,64.36,100,60
16,63.92,100,60
17,63.5,100,60
18,63.2,100,60
19,62.84,100,60
20,61.34,89,60
21,60.94,89,60
22,60.94,89,60
23,60.94,89,60
24,60.94,89,60
25,60.94,89,60
26,60.94,89,60
27,60.94,89,60
28,60.94,89,60
29,60.94,89,60
30,60.36,78,60
31,60.0,60,60
32,60.0,60,60
33,60.0,60,60
34,60.0,60,60
35,60.0,60,60
36,60.0,60,60
37,60.0,60,60
38,60.0,60,60
39,60.0,60,60
40,60.0,60,60
41,60.0,60,60
42,60.0,60,60
43,60.0,60,60
44,60.0,60,60
45,60.0,60,60
46,60.0,60,60
47,60.0,60,60
48,60.0,60,60
49,60.0,60,60
50,60.0,60,60
51,60.0,60,60
52,60.0,60,60
53,60.0,60,60
54,60.0,60,60
55,60.0,60,60
56,60.0,60,60
57,60.0,60,60
58,60.0,60,60
59,60.0,60,60
60,60.0,60,60
61,60.0,60,60
62,60.0,60,60
63,60.0,60,60
64,60.0,60,60
65,60.0,60,60
66,60.0,60,60
67,60.0,60,60
68,60.0,60,60
69,60.0,60,60
70,60.0,60,60
71,60.0,60,60
72,60.0,60,60
73,60.0,60,60
74,60.0,60,60
75,60.0,60,60
76,60.0,60,60
77,60.0,60,60
78,60.0,60,60
79,60.0,60,60
80,60.0,60,60
81,60.0,60,60
82,60.0,60,60
83,60.0,60,60
84,60.0,60,60
85,60.0,60,60
86,60.0,60,60
87,60.0,60,60
88,60.0,60,60
89,60.0,60,60
90,60.0,60,60
91,60.0,60,60
92,60.0,60,60
93,60.0,60,60
94,60.0,60,60
95,60.0,60,60
96,60.0,60,60
97,60.0,60,60
98,60.0,60,60
99,60.0,60,60
100,60.0,60,60
101,60.0,60,60
102,60.0,60,60
103,60.0,60,60
104,60.0,60,60
105,60.0,60,60
106,60.0,60,60
107,60.0,60,60
108,60.0,60,60
109,60.0,60,60
110,60.0,60,60
111,60.0,60,60
112,60.0,60,60
113,60.0,60,60
114,60.0,60,60
115,60.0,60,60
116,60.0,60,60
117,60.0,60,60
118,60.0,60,60
119,60.0,60,60
120,60.0,60,60
121,60.0,60,60
122,60.0,60,60
123,60.0,60,60
124,60.0,60,60
125,60.0,60,60
126,60.0,60,60
127,60.0,60,60
128,60.0,60,60
129,60.0,60,60
130,60.0,60,60
131,60.0,60,60
132,60.0,60,60
133,60.0,60,60
134,60.0,60,60
135,60.0,60,60
136,60.0,60,60
137,60.0,60,60
138,60.0,60,60
139,60.0,60,60
140,60.0,60,60
141,60.0,60,60
142,60.0,60,60
143,60.0,60,60
144,60.0,60,60
145,60.0,60,60
146,60.0,60,60
147,60.0,60,60
148,60.0,60,60
149,60.0,60,60
150,60.0,60,60
151,60.0,60,60
152,60.0,60,60
153,60.0,60,60
154,60.0,60,60
155,60.0,60,60
156,60.0,60,60
157,60.0,60,60
158,60.0,60,60
159,60.0,60,60
160,60.0,60,60
161,60.0,60,60
162,60.0,60,60
163,60.0,60,60
164,60.0,60,60
165,60.0,60,60
166,60.0,60,60
167,60.0,60,60
168,60.0,60,60
169,60.0,60,60
170,60.0,60,60
171,60.0,60,60
172,60.0,60,60
173,60.0,60,60
174,60.0,60,60
175,60.0,60,60
176,60.0,60,60
177,60.0,60,60
178,60.0,60,60
179,60.0,60,60
180,60.0,60,60
181,60.0,60,60
182,60.0,60,60
183,60.0,60,60
184,60.0,60,60
185,60.0,60,60
186,60.0,60,60
187,60.0,60,60
188,60.0,60,60
189,60.0,60,60
190,60.0,60,60
191,60.0,60,60
192,60.0,60,60
193,60.0,60,60
194,60.0,60,60
195,60.0,60,60
196,60.0,60,60
197,60.0,60,60
198,60.0,60,60
199,60.0,60,60
200,60.0,60,60
