Generation,Average_Fitness,Best_Fit,Worst_Fit
1,95.9,100,90
2,94.83333333333333,99,90
3,94.1,99,89
4,93.2,99,87
5,92.53333333333333,99,85
6,91.63333333333334,98,85
7,91.23333333333333,97,85
8,90.4,97,85
9,90.13333333333334,97,80
10,89.83333333333333,97,83
11,89.06666666666666,97,83
12,88.7,97,80
13,88.26666666666667,97,80
14,87.53333333333333,97,80
15,86.53333333333333,97,80
16,85.9,97,80
17,85.33333333333333,97,79
18,84.23333333333333,97,75
19,83.8,97,77
20,83.43333333333334,97,77
21,82.73333333333333,97,76
22,82.83333333333333,97,76
23,82.16666666666667,97,76
24,81.33333333333333,97,76
25,81.06666666666666,97,76
26,79.96666666666667,89,75
27,79.23333333333333,89,71
28,77.93333333333334,89,71
29,77.66666666666667,89,71
30,77.0,89,71
31,76.9,89,71
32,76.03333333333333,89,71
33,75.5,89,68
34,74.83333333333333,85,69
35,74.33333333333333,85,69
36,73.23333333333333,84,68
37,72.53333333333333,84,68
38,72.86666666666666,84,68
39,72.46666666666667,84,67
40,71.1,76,67
41,70.66666666666667,76,67
42,70.16666666666667,75,67
43,69.8,75,67
44,69.13333333333334,75,67
45,68.86666666666666,75,67
46,68.76666666666667,75,67
47,68.33333333333333,75,65
48,68.16666666666667,75,66
49,67.96666666666667,75,65
50,67.6,75,65
51,67.5,75,65
52,67.4,75,65
53,67.03333333333333,70,65
54,66.73333333333333,70,65
55,66.8,70,65
56,66.36666666666666,70,65
57,66.13333333333334,70,65
58,65.86666666666666,70,65
59,65.83333333333333,70,65
60,65.6,67,65
61,65.66666666666667,67,65
62,65.46666666666667,66,65
63,65.33333333333333,66,65
64,65.3,66,65
65,65.3,66,65
66,65.26666666666667,66,65
67,65.13333333333334,66,65
68,65.1,66,65
69,65.03333333333333,66,65
70,65.0,65,65
71,65.0,65,65
72,65.0,65,65
73,65.0,65,65
74,65.0,65,65
75,65.0,65,65
76,65.0,65,65
77,65.0,65,65
78,65.0,65,65
79,65.0,65,65
80,65.0,65,65
81,65.0,65,65
82,65.0,65,65
83,65.0,65,65
84,65.0,65,65
85,65.0,65,65
86,65.0,65,65
87,65.0,65,65
88,65.0,65,65
89,65.0,65,65
90,65.0,65,65
91,65.0,65,65
92,65.0,65,65
93,65.0,65,65
94,65.0,65,65
95,65.0,65,65
96,65.0,65,65
97,65.0,65,65
98,65.0,65,65
99,65.0,65,65
100,65.0,65,65
101,65.0,65,65
102,65.0,65,65
103,65.0,65,65
104,65.0,65,65
105,65.0,65,65
106,65.0,65,65
107,65.0,65,65
108,65.0,65,65
109,65.0,65,65
110,65.0,65,65
111,65.0,65,65
112,65.0,65,65
113,65.0,65,65
114,65.0,65,65
115,65.0,65,65
116,65.0,65,65
117,65.0,65,65
118,65.0,65,65
119,65.0,65,65
120,65.0,65,65
121,65.0,65,65
122,65.0,65,65
123,65.0,65,65
124,65.0,65,65
125,65.0,65,65
126,65.0,65,65
127,65.0,65,65
128,65.0,65,65
129,65.0,65,65
130,65.0,65,65
131,65.0,65,65
132,65.0,65,65
133,65.0,65,65
134,65.0,65,65
135,65.0,65,65
136,65.0,65,65
137,65.0,65,65
138,65.0,65,65
139,65.0,65,65
140,65.0,65,65
141,65.0,65,65
142,65.0,65,65
143,65.0,65,65
144,65.0,65,65
145,65.0,65,65
146,65.0,65,65
147,65.0,65,65
148,65.0,65,65
149,65.0,65,65
150,65.0,65,65
151,65.0,65,65
152,65.0,65,65
153,65.0,65,65
154,65.0,65,65
155,65.0,65,65
156,65.0,65,65
157,65.0,65,65
158,65.0,65,65
159,65.0,65,65
160,65.0,65,65
161,65.0,65,65
162,65.0,65,65
163,65.0,65,65
164,65.0,65,65
165,65.0,65,65
166,65.0,65,65
167,65.0,65,65
168,65.0,65,65
169,65.0,65,65
170,65.0,65,65
171,65.0,65,65
172,65.0,65,65
173,65.0,65,65
174,65.0,65,65
175,65.0,65,65
176,65.0,65,65
177,65.0,65,65
178,65.0,65,65
179,65.0,65,65
180,65.0,65,65
181,65.0,65,65
182,65.0,65,65
183,65.0,65,65
184,65.0,65,65
185,65.0,65,65
186,65.0,65,65
187,65.0,65,65
188,65.0,65,65
189,65.0,65,65
190,65.0,65,65
191,65.0,65,65
192,65.0,65,65
193,65.0,65,65
194,65.0,65,65
195,65.0,65,65
196,65.0,65,65
197,65.0,65,65
198,65.0,65,65
199,65.0,65,65
200,65.0,65,65
