Generation,Average_Fitness,Worst_Fit,Best_Fit
1,483.93368221544455,508.0074828141481,440.7352465672568
2,476.3465711928285,493.30669096739854,440.7352465672568
3,468.36672464733033,485.5659130566318,423.5848641108964
4,455.57650625155,476.0414813659758,407.41457994407773
5,445.76105649067983,468.69314488319895,398.5731708754993
6,434.2728981260537,456.22504701438544,384.88204370918226
7,426.92909330709443,445.1925353593751,384.88204370918226
8,417.17307165162185,434.8220043648037,380.7512125460245
9,408.6971050309835,424.47658203048275,377.83874051259386
10,400.6296626806797,415.4800528929494,368.81613799441016
11,390.63376634533796,404.5849373527356,364.6588015239604
12,382.7587556379885,396.66879896406437,350.4745325523996
13,372.8869175071043,388.41184770190415,332.15420261865324
14,363.7022527130623,377.83874051259386,327.39181233984425
15,354.4180370122225,371.52294780376724,301.112459530909
16,345.12634853901926,366.964042680784,285.46594832953906
17,338.1768654726997,353.4779041104551,285.46594832953906
18,329.2315561194032,347.2872275347107,285.46594832953906
19,322.3773882749145,336.5967690925546,285.46594832953906
20,316.0660470500992,330.9247167085627,285.46594832953906
21,309.47408449128625,323.93760324737093,281.9449046030562
22,300.1511577909992,316.5811885829256,277.6978306941304
23,293.3540169581627,308.0849545051854,272.17783863919345
24,287.57185621759106,298.8446582669363,262.44939382463457
25,281.456954324644,292.2095863425226,258.52622438807674
26,276.5646303268395,286.02465025143107,254.3758661583007
27,270.82796760261766,281.7787664512909,247.66766888789226
28,262.2115454672358,273.4343941797668,228.63563774145703
29,257.136607475938,269.14238264898637,228.63563774145703
30,252.9891581751391,263.28169225643575,228.63563774145703
31,247.90360346363676,258.52622438807674,223.23148486733245
32,241.82613594497866,251.8441188589901,216.41176090494432
33,237.85389225750336,247.91205506437453,216.41176090494432
34,231.5634537241908,241.22891300020328,212.5171103426906
35,225.85853044587904,237.23473065777256,207.95835398210605
36,219.71325778420496,229.32892417017044,203.679321486326
37,215.4744040566159,225.44632366836686,190.18851751548465
38,212.10468472622068,219.85772804518405,190.18851751548465
39,206.965971715898,215.68234732998403,171.65274588026602
40,201.10446732058364,212.8152686603343,171.65274588026602
41,195.2009335347313,206.0412262447251,171.65274588026602
42,189.91018196874293,202.1784842835875,157.4867105527231
43,183.9777467157273,197.05059804181133,157.4867105527231
44,178.53498190388788,189.80754690173742,157.15348586895
45,174.5714158516383,184.77713839845822,154.76162560358372
46,170.35697162901087,180.34671734475347,134.53651986342
47,166.62201242663272,176.55954265281318,134.53651986342
48,162.61450233213495,170.89045852084058,134.53651986342
49,157.3279655277982,168.31566811965234,133.80204834385765
50,153.07050150310917,164.7430943051528,133.80204834385765
51,150.0739393238563,158.79580155653096,133.80204834385765
52,145.6493778538677,154.15442410085157,128.82055648001736
53,142.71554787502822,150.88371311598678,128.82055648001736
54,138.3102632724905,145.58734287193795,128.82055648001736
55,135.5545222744705,142.6585480585816,121.74064394135392
56,132.48810032865032,139.3419332365929,110.67519885837173
57,129.54953272975135,136.75634656243955,110.67519885837173
58,126.61874238380383,133.7425138974736,110.67519885837173
59,121.72910900135828,130.12179342864414,103.86742354432026
60,118.6910794762094,126.63210096711481,102.07942597000674
61,115.47127798382124,123.60114251949368,92.08323105586454
62,112.5844755203951,120.31304931199257,92.08323105586454
63,109.45821204926494,116.64787825493036,92.08323105586454
64,105.56889410137846,111.95938093932153,90.59411703027166
65,102.88093721720766,110.10774643750831,90.59411703027166
66,100.98304635920366,106.40607527845063,89.93102188166603
67,98.531537100675,104.6735099211517,88.20499741351341
68,95.5549266023586,101.99886465205833,82.83574416556206
69,92.72657393361219,97.57429394459729,82.83574416556206
70,90.80004561253867,95.40280723173737,81.09799896009338
71,88.43058725928431,93.63152643109217,78.93698606987786
72,85.68657691665068,90.8834824246614,76.73563155773303
73,84.08694437973787,88.62260965916344,76.73563155773303
74,81.64493029712257,86.59145795654577,73.47397653777342
75,79.44757699807107,84.3264391598967,68.26287507807909
76,76.76032552238706,82.38691103798612,64.57482657738787
77,74.94681305611816,80.26526766742289,63.6291558523303
78,73.21646555545598,78.34361923171741,63.6291558523303
79,70.9481915975206,76.29502947598333,63.12002993119549
80,68.76933018703531,73.6891432320138,60.95059283651043
81,66.81046586622193,71.15280734763516,53.12790799238215
82,63.973114409439404,68.75445919090784,49.02207993874317
83,62.93321471333763,66.93476204409177,49.02207993874317
84,60.777243227488746,65.69263009399307,49.02207993874317
85,59.702617823449266,64.64855373539329,49.02207993874317
86,58.17714729258093,62.877684867826424,49.02207993874317
87,56.2223234542698,60.44633247979636,48.6467633694544
88,54.49185799682879,59.15281695317564,48.1497648280585
89,52.974527615320454,56.977930096953635,48.1497648280585
90,51.674872394840925,54.50831512832032,37.29407605002624
