Generation,Average_Fitness,Worst_Fit,Best_Fit
1,99.54,100,97
2,99.38,100,97
3,99.0,100,97
4,98.54,100,96
5,98.18,99,96
6,97.74,99,95
7,97.28,98,95
8,97.0,98,95
9,96.44,98,94
10,95.98,97,94
11,95.72,97,94
12,95.4,96,93
13,95.36,96,93
14,95.08,96,93
15,94.66,96,93
16,94.34,95,92
17,93.96,95,92
18,93.62,95,92
19,93.32,94,92
20,92.98,94,90
21,92.68,93,90
22,92.62,93,90
23,92.54,93,90
24,92.44,93,90
25,92.34,93,90
26,92.1,93,90
27,91.8,93,90
28,91.58,92,90
29,91.5,92,90
30,91.3,92,90
31,90.98,92,90
32,90.78,91,89
33,90.64,91,89
34,90.58,91,89
35,90.5,91,89
36,90.22,91,88
37,90.06,91,88
38,89.84,91,88
39,89.48,90,87
40,89.42,90,87
41,89.22,90,87
42,89.08,90,87
43,88.84,90,87
44,88.64,90,87
45,88.48,89,87
46,88.34,89,87
47,88.12,89,84
48,87.72,89,84
49,87.22,89,83
50,87.02,88,83
51,86.82,88,83
52,86.46,88,83
53,86.22,87,83
54,86.0,87,83
55,85.74,87,83
56,85.36,87,83
57,84.96,86,81
58,84.38,86,81
59,83.94,86,81
60,83.54,85,79
61,83.2,85,79
62,82.84,84,79
63,82.44,84,79
64,82.08,84,79
65,81.78,83,79
66,81.52,83,79
67,81.24,82,79
68,81.04,82,79
69,80.52,82,77
70,80.18,81,77
71,79.84,81,77
72,79.42,81,76
73,79.14,81,76
74,78.8,80,76
75,78.4,80,76
76,78.1,80,76
77,77.8,79,76
78,77.52,78,76
79,77.36,78,76
80,77.22,78,76
81,77.08,78,76
82,76.86,78,76
83,76.76,77,75
84,76.72,77,75
85,76.66,77,75
86,76.58,77,75
87,76.4,77,75
88,76.3,77,75
89,76.08,77,75
90,75.82,77,75
91,75.68,76,75
92,75.62,76,74
93,75.52,76,74
94,75.48,76,74
95,75.4,76,74
96,75.32,76,74
97,75.2,76,74
98,75.04,76,74
99,74.98,75,74
100,74.94,75,73
101,74.92,75,73
102,74.8,75,72
103,74.74,75,72
104,74.68,75,72
105,74.62,75,72
106,74.56,75,72
107,74.42,75,72
108,74.26,75,72
109,74.04,75,72
110,73.8,75,72
111,73.62,75,72
112,73.5,74,72
113,73.32,74,70
114,73.1,74,70
115,72.86,74,70
116,72.56,74,70
117,72.44,73,70
118,72.24,73,70
119,72.06,73,70
120,71.94,73,70
121,71.78,72,70
122,71.72,72,70
123,71.54,72,70
124,71.4,72,69
125,71.22,72,69
126,71.06,72,69
127,70.98,72,69
128,70.8,72,69
129,70.52,71,69
130,70.4,71,69
131,70.32,71,69
132,70.12,71,69
133,69.98,71,69
134,69.78,71,69
135,69.64,70,69
136,69.5,70,67
137,69.36,70,67
138,69.18,70,66
139,69.06,70,66
140,68.92,70,66
141,68.86,69,66
142,68.86,69,66
143,68.86,69,66
144,68.86,69,66
145,68.8,69,66
146,68.68,69,66
147,68.54,69,66
148,68.4,69,66
149,68.34,69,66
150,68.14,69,66
151,68.04,69,66
152,67.78,69,66
153,67.6,68,66
154,67.52,68,66
155,67.42,68,66
156,67.32,68,66
157,67.2,68,66
158,67.06,68,66
159,66.88,67,66
160,66.84,67,66
161,66.82,67,66
162,66.76,67,66
163,66.72,67,66
164,66.64,67,65
165,66.54,67,65
166,66.46,67,65
167,66.24,67,65
168,66.06,67,65
169,65.76,67,65
170,65.6,66,65
171,65.48,66,64
172,65.34,66,63
173,65.2,66,63
174,64.98,66,63
175,64.72,66,63
176,64.58,65,63
177,64.46,65,62
178,64.4,65,62
179,64.32,65,62
180,64.14,65,62
181,63.98,65,62
182,63.8,65,62
183,63.76,64,62
184,63.7,64,62
185,63.62,64,62
186,63.48,64,62
187,63.48,64,62
188,63.34,64,62
189,63.18,64,62
190,63.02,64,61
191,62.7,64,61
192,62.48,63,61
193,62.36,63,61
194,62.26,63,61
195,62.14,63,61
196,61.88,63,61
197,61.78,62,61
198,61.72,62,60
199,61.66,62,60
200,61.58,62,60
201,61.4,62,60
202,61.28,62,60
203,61.08,62,60
204,60.88,61,60
205,60.82,61,60
206,60.76,61,60
207,60.66,61,59
208,60.6,61,59
209,60.52,61,59
210,60.48,61,59
211,60.32,61,59
212,60.16,61,59
213,59.92,61,59
214,59.78,60,59
215,59.7,60,59
216,59.64,60,59
217,59.56,60,59
218,59.46,60,59
219,59.32,60,59
220,59.16,60,59
221,59.0,59,59
222,59.0,59,59
223,59.0,59,59
224,59.0,59,59
225,59.0,59,59
226,59.0,59,59
227,59.0,59,59
228,59.0,59,59
229,59.0,59,59
230,59.0,59,59
231,59.0,59,59
232,59.0,59,59
233,59.0,59,59
234,59.0,59,59
235,59.0,59,59
236,59.0,59,59
237,59.0,59,59
238,59.0,59,59
239,59.0,59,59
240,59.0,59,59
241,59.0,59,59
242,59.0,59,59
243,59.0,59,59
244,59.0,59,59
245,59.0,59,59
246,59.0,59,59
247,59.0,59,59
248,59.0,59,59
249,59.0,59,59
250,59.0,59,59
251,59.0,59,59
252,59.0,59,59
253,59.0,59,59
254,59.0,59,59
255,59.0,59,59
256,59.0,59,59
257,59.0,59,59
258,59.0,59,59
259,59.0,59,59
260,59.0,59,59
261,59.0,59,59
262,59.0,59,59
263,59.0,59,59
264,59.0,59,59
265,59.0,59,59
266,59.0,59,59
267,59.0,59,59
268,59.0,59,59
269,59.0,59,59
270,59.0,59,59
271,58.98,59,58
272,58.96,59,58
273,58.96,59,58
274,58.96,59,58
275,58.92,59,58
276,58.92,59,58
277,58.9,59,58
278,58.88,59,58
279,58.88,59,58
280,58.86,59,58
281,58.82,59,58
282,58.76,59,58
283,58.72,59,58
284,58.64,59,58
285,58.56,59,58
286,58.38,59,58
287,58.22,59,58
288,58.06,59,58
289,58.0,58,58
290,58.0,58,58
291,58.0,58,58
292,58.0,58,58
293,58.0,58,58
294,58.0,58,58
295,58.0,58,58
296,58.0,58,58
297,58.0,58,58
298,58.0,58,58
299,58.0,58,58
300,58.0,58,58
301,58.0,58,58
302,58.0,58,58
303,58.0,58,58
304,58.0,58,58
305,58.0,58,58
306,58.0,58,58
307,58.0,58,58
308,58.0,58,58
309,58.0,58,58
310,58.0,58,58
311,58.0,58,58
312,58.0,58,58
313,58.0,58,58
314,58.0,58,58
315,58.0,58,58
316,58.0,58,58
317,58.0,58,58
318,58.0,58,58
319,58.0,58,58
320,58.0,58,58
321,58.0,58,58
322,58.0,58,58
323,58.0,58,58
324,58.0,58,58
325,58.0,58,58
326,58.0,58,58
327,58.0,58,58
328,58.0,58,58
329,58.0,58,58
330,58.0,58,58
331,58.0,58,58
332,58.0,58,58
333,58.0,58,58
334,58.0,58,58
335,58.0,58,58
336,58.0,58,58
337,58.0,58,58
