Generation,Average_Fitness,Best_Fit,Worst_Fit
1,945.9142485883673,1019.0935416696083,785.2636447166825
2,899.8635666751784,991.6210547042784,756.8652670174904
3,834.7370263484218,941.4652084402353,648.3457690948346
4,777.5136601850187,864.641582013971,586.0562806780588
5,733.7134444371809,810.7621877674966,552.8235072214815
6,683.8888107623357,764.2823995088329,540.6778884089672
7,641.455023756239,715.49113189442,478.9272783883879
8,601.0799800731643,680.4945561693058,478.9272783883879
9,548.6678439175008,625.4807794887503,432.1833057146539
10,508.0456087780128,581.885394085469,394.5355149550875
11,476.8848003950937,535.8707229467445,394.5355149550875
12,447.15581134351595,487.6336392316827,394.5355149550875
13,424.05161490171804,452.04748950136775,342.7448612083125
14,405.96321825082595,436.6308377829216,342.7448612083125
15,384.96449050800516,414.463201382959,323.6957719509199
16,373.67765962189515,395.2430196310119,323.6957719509199
17,361.4783065635964,385.1064110341827,303.71271300746736
18,349.9713098075291,372.25217057997895,300.10023095393814
19,342.6556211272554,360.5938096723745,300.10023095393814
20,334.11475953117423,347.7170079768184,300.10023095393814
21,326.91799037854327,342.035619889108,300.10023095393814
22,320.6353528084009,333.6851990401283,294.3163828134572
23,315.3297574478034,326.75665693323793,289.5913264705777
24,308.2536929819974,321.2723227409449,281.50520009712284
25,303.78937393090627,312.49582023357067,281.50520009712284
26,298.37194134230793,308.06647949337116,281.50520009712284
27,296.2308210267375,303.71271300746736,281.50520009712284
28,292.1473720650759,299.36130612840054,279.67438242676576
29,289.1647606350109,294.8664280745984,279.67438242676576
30,286.30305839162827,292.35594292351857,275.6032686427626
31,284.2173583819386,288.6562744169645,275.6032686427626
32,281.702470342715,285.13782831353336,270.9300338049642
33,280.1837626853296,284.57448620709556,269.54934379396906
34,278.4485553495431,282.3990545845746,269.54934379396906
35,277.756947049207,279.71250754662975,269.54934379396906
36,276.83807912658415,279.49206871706696,269.54934379396906
37,276.12521418513325,278.4902410430365,269.54934379396906
38,274.66099612251844,277.9498065060941,268.57700493936363
39,273.30684384903554,276.23086284904025,266.94284247787743
40,272.4874378948183,274.95414378113924,266.94284247787743
41,271.84071812989885,274.1766480596613,266.94284247787743
42,271.2033285388149,273.61750833048836,266.94284247787743
43,270.3053487814494,272.829594399288,264.91706285739343
44,269.40968179001305,271.306594627921,264.23440557887267
45,268.8171921019319,270.88438799156626,264.23440557887267
46,268.1865569060703,269.92858072366107,264.23440557887267
47,267.56426196784304,269.747581117633,264.23440557887267
48,266.8133081594118,268.3075568041116,264.23440557887267
49,265.88162373414144,268.3075568041116,264.23440557887267
50,264.9885660652385,266.94284247787743,264.23440557887267
